"Wavelength","I1","I1.dark","R1","R1dark","XCorrect","I1c","R1c","I1c.R1c","Abs","Percent.T"
"nm","uA","uA","uA","uA","","uA","uA","uA/uA","OD","T*100"
"","Abs Detector Raw","Dark Offset for Abs Detector","Ref Detector Raw","Dark Offset for Ref Detector","Linear interp","Dark subtracted Abs Detector","Corrected Ref Detector","Corrected Intensity ","-Log(T)","% Transmittance"
"800","0.144024231144478","2.28021015209784E-4","0.212193833456925","0.00493838999682295","1.35067892074585","0.143796210129269","0.279935558691393","0.513676114608193","9.19826639920994E-4","99.7884262225886"
"798","0.152970172652311","","0.225524042944981","","1.34199333190918","0.152742151637101","0.29602447537126","0.515978117841571","8.45726528437601E-4","99.8054537572895"
"796","0.165347154338085","","0.243434465198549","","1.33337259292603","0.165119133322875","0.318004130194405","0.519235813767364","8.26054551853579E-4","99.8099746874385"
"794","0.166529508306749","","0.244737030958725","","1.32502686977386","0.166301487291539","0.317739642609775","0.523389168331691","9.57033045374797E-4","99.7798776230399"
"792","0.15623814520395","","0.229787404095853","","1.31713449954987","0.156010124188741","0.296156393659607","0.526782900956222","8.55023648662215E-4","99.8033172038462"
"790","0.150626565331353","","0.222109339970954","","1.30966234207153","0.150398544316144","0.284420614973021","0.528789181931873","8.20472166621364E-4","99.8112576448163"
"788","0.152994690093009","","0.225783768514622","","1.30193436145782","0.152766669077799","0.287526186861482","0.531313932638059","8.91035064590851E-4","99.7950419208015"
"786","0.157145138494088","","0.231839520100226","","1.29363858699799","0.156917117478879","0.293528057335213","0.534589840928484","8.52220276852363E-4","99.8039614365516"
"784","0.162015993424576","","0.238989233587893","","1.28498160839081","0.161787972409367","0.300751029442878","0.537946529091084","7.57199510001416E-4","99.8258002737447"
"782","0.169746581734446","","0.250366016531935","","1.27644824981689","0.169518560719236","0.313275664347459","0.541116275572623","8.88075843440694E-4","99.7957219124136"
"780","0.18153030876103","","0.267737005117615","","1.268270611763","0.18130228774582","0.333299760369716","0.54396165045156","9.35110855199225E-4","99.7849144097188"
"778","0.197597957393726","","0.291043465023571","","1.26044166088104","0.197369936378516","0.36061875595321","0.547309126661524","7.60140392766822E-4","99.8251242923684"
"776","0.217127037325152","","0.319485074101819","","1.25292003154755","0.216899016309942","0.394101841372007","0.55036285939401","9.94141148887842E-4","99.7713523389278"
"774","0.257843866653117","","0.37900561829758","","1.24577045440674","0.257615845637908","0.466001900978903","0.552821447931326","8.0705840670494E-4","99.81434049523"
"772","0.347349595017089","","0.510186854040496","","1.23883104324341","0.347121574001879","0.625917481808353","0.554580410502359","7.1574578531218E-4","99.8353291738688"
"770","0.432953175149887","","0.633578708405844","","1.23221707344055","0.432725154134677","0.774621333396701","0.558627984381976","7.48591330371747E-4","99.8277789471394"
"768","0.434428725986276","","0.632651247166875","","1.22665858268738","0.434200704971067","0.76998936371086","0.563904808864495","8.60475098296934E-4","99.8020644378888"
"766","0.371551605265841","","0.540056366860596","","1.22236526012421","0.371323584250632","0.654109624986225","0.567677909124868","8.37104982778022E-4","99.8074350991062"
"764","0.327857885958011","","0.47854164390083","","1.2186872959137","0.327629864942801","0.577174268836202","0.567644613824217","7.55430705036107E-4","99.8262068474824"
"762","0.32886156942568","","0.480645736299649","","1.214359998703","0.32863354841047","0.577679972439309","0.568885133792649","8.36485344755494E-4","99.8075775013895"
"760","0.345085601953626","","0.504143946349798","","1.20898902416229","0.344857580938416","0.603534038431578","0.571397069558177","6.3235326225516E-4","99.8545012327242"
"758","0.368394239860977","","0.53790512785552","","1.2031888961792","0.368166218845767","0.641259661024434","0.574129703180782","6.50855819661919E-4","99.8502471508457"
"756","0.394346035716751","","0.575118486776647","","1.19780671596527","0.394118014701542","0.682965549232601","0.577068660555987","6.6230362308851E-4","99.8476151787993"
"754","0.418333897254202","","0.609382613226648","","1.1931779384613","0.418105876238992","0.721209512188207","0.579728732321382","8.41811278139849E-4","99.8063535271697"
"752","0.444093536128322","","0.646333876506733","","1.18890511989594","0.443865515113112","0.762558377789776","0.582074144145693","7.50909654869224E-4","99.8272460539588"
"750","0.484026337787606","","0.703625360347631","","1.1848680973053","0.483798316772396","0.827851901171565","0.584402012108362","6.87422169710693E-4","99.8418404002705"
"748","0.537158200978622","","0.779730418332105","","1.18107759952545","0.536930179963412","0.91508950895769","0.586751541469412","6.68119917951547E-4","99.8462779771846"
"746","0.590136058738124","","0.854899308412604","","1.17750906944275","0.589908037722914","1.00083669010647","0.589414880124107","6.40199067639408E-4","99.8526973140942"
