Sample,Month,Lake,Leu,TdR,Leu:TdR,Leu_nM,TdR_nM
Washburn,August,Superior,6.95E+02,1.58E+02,6.30E+01,5.42,0.09
SCS1,August,St. Clair,1.73E+03,7.23E+02,3.40E+01,13.45,0.39
Keweenaw Bay,August,Superior,1.57E+02,8.97E+01,2.50E+01,1.23,0.05
Keweenaw Waterway,August,Superior,1.29E+03,2.06E+03,8.90E+00,10.08,1.13
SCS2,August,St. Clair,1.53E+03,2.01E+02,1.10E+02,11.91,0.11
Put-In-Bay,August,Erie,4.42E+02,9.62E+02,6.60E+00,3.45,0.53
Racine,August,Michigan,1.45E+03,8.01E+02,2.60E+01,11.27,0.44
GBI,August,Huron,2.45E+03,1.07E+03,3.30E+01,19.1,0.59
St. Martin's,August,Huron,3.84E+02,1.71E+02,3.20E+01,3,0.09
Whitefish Bay,August,Superior,3.09E+02,1.33E+02,3.30E+01,2.41,0.07
BQ1,August,Ontario,1.90E+03,4.78E+03,5.70E+00,14.79,2.61
CCIW,August,Ontario,1.93E+03,1.83E+03,1.50E+01,15.02,1
Graeber,August,Erie,1.95E+02,9.54E+02,2.90E+00,1.52,0.52
BurPier,August,Ontario,3.11E+02,3.53E+02,1.30E+01,2.43,0.19
