"","sample","a254","a300","E2_E3","E4_E6","S275_295","S350_400","S300_700","SR"
"1","EG18Feb25",8.60862526806313,4.54934579754237,6.28095653798629,2.0497481057808,0.0139685096099789,0.0185140814942708,0.0174581013971805,0.754480291895738
"2","KW10Feb25",3.52505583168577,1.30565297999299,7.92287383937414,1.21121987819589,0.023623566873445,0.0143438146086754,0.0152560668846643,1.64695149218932
"3","LH01Feb25",9.73919408646969,5.39986805497832,3.57969529211718,1.44955431469429,0.0144307286490952,0.00737970382875635,0.00859290392277463,1.95546176160393
"4","LH15May24",8.62567909888926,3.95951290176723,6.2587159790301,3.05248011165242,0.0187367982434226,0.0147210719994563,0.0152554814733574,1.27278762335478
"5","LHU15May24",3.01498096226826,0.898325844473758,46.5750439143033,1.03142612944198,0.0301160323408742,0.4174040042441,0.123969481915148,0.0721507988295728
"6","LM18Feb25",3.85100564725805,1.1756004881496,9.29752824358561,1.30211090182081,0.0297518682569953,0.0124260486600193,0.0138589525828263,2.39431448170018
"7","LS01Feb25",3.6577106757159,1.42152603494667,6.57475867007459,1.31381515168455,0.0234008617899588,0.0120850582245439,0.0125580547694218,1.93634663194534
"8","LS15May24",4.19220457729739,1.58108996725528,10.8037269977583,-2.32674160369373,0.024477594636473,0.0231688195223027,0.0886003189289455,1.0564886403863
"9","MB11Feb25",4.36771701154768,1.73836981614997,7.1083267397965,1.35777804520824,0.0234271542006877,0.0128791782514801,0.0138052032718323,1.81899448421683
"10","MI17Feb25",3.55284546141314,1.07056953175643,6.20349515994015,0.857507559382468,0.0315188140006828,0.00450612754170816,0.00648152627656565,6.99465643370024
"11","NW10Feb25",5.20008233313008,2.23469457420486,7.2967179231516,1.52139522387308,0.0207813150504958,0.0156592301183861,0.016010442757832,1.32709685555331
"12","ON11Feb25",5.33107859189006,1.73558924315966,14.8612527532786,0.017582561882322,0.0282475282122901,0.0261413411542613,0.105504856331757,1.08056920437249
"13","ONC11Feb25",12.0516230352999,5.24171292991196,8.48758237740204,2.66279630790835,0.0204120089230161,0.0184327681412941,0.0194573944902592,1.10737620994038
"14","QN12Feb25",4.45917722340188,1.28938177388771,15.5686711923449,-1.72015804370824,0.0312004227763682,0.0236221445794436,0.0510899438532408,1.32081245508587
"15","SB10Feb25",3.29939064953349,0.94268187653173,9.94235091990489,1.30896650678497,0.0317211655878426,0.0114309739023329,0.0129397465315965,2.77501863435876
"16","SM01Feb25",3.54161885490731,1.38241903703348,6.65954904463183,1.68082833416386,0.0231644405744954,0.0120987001923816,0.0127534253922727,1.91462224918026
"17","SM15May24",4.24469821210033,1.9311144957548,4.19499321729526,0.963125610923295,0.0196673369612379,0.00728658887769815,0.00704699615823988,2.69911439925383
"18","SM18Feb25",23.6989951973356,12.7655156224371,4.98294616445864,3.19677870734818,0.0144290728170846,0.0156721327692026,0.0144178237762142,0.920683421304298
