wavelength,fd3blank,fd3a,fd3b
827.33,7.20E-04,0.003405361413,0.001387227
824.33,7.44E-04,0.003300375979,0.001159815164
821.33,9.24E-04,0.00353732885,0.001324335371
818.33,8.20E-04,0.003414541026,0.001441323276
815.33,7.29E-04,0.003557558453,0.001452319009
812.33,6.59E-04,0.003692783608,0.001395602878
809.33,7.05E-04,0.003639353902,0.00130932802
806.33,7.07E-04,0.003586004631,0.001262019156
803.33,9.11E-04,0.003655326792,0.001614661506
800.33,8.28E-04,0.003622009387,0.001621941938
797.33,8.63E-04,0.003684537421,0.001479558237
794.33,9.25E-04,0.003576670049,0.001364420058
791.33,8.60E-04,0.003600182413,0.001252567926
788.33,8.02E-04,0.003544290747,0.001198299476
785.33,8.23E-04,0.003490632118,0.001386082818
782.33,7.49E-04,0.003540893899,0.001433794647
779.33,6.23E-04,0.003443818893,0.001140042711
776.33,5.74E-04,0.003452308032,0.001219893251
773.33,6.32E-04,0.003493878448,0.001171880925
770.33,6.45E-04,0.003517952678,0.001203640266
767.33,5.78E-04,0.003453017675,0.001146726121
764.33,6.68E-04,0.003540123825,0.001247970447
761.33,6.29E-04,0.003403096727,0.001074771109
758.33,7.17E-04,0.003437137356,0.001128074585
755.33,6.05E-04,0.003554674432,0.001163636285
752.33,5.48E-04,0.003492431646,0.001102419169
749.33,5.84E-04,0.003477168484,1.00E-03
746.33,5.36E-04,0.003454085824,8.93E-04
743.33,5.41E-04,0.003547653437,9.52E-04
740.33,5.32E-04,0.003511962061,8.52E-04
737.33,6.09E-04,0.003669729809,0.001055695454
734.33,6.34E-04,0.003676753386,0.001019263477
731.33,6.42E-04,0.003546287867,0.001122966101
728.33,6.96E-04,0.0035460165,0.001178213851
725.33,7.33E-04,0.00367426192,0.001308522631
722.33,6.68E-04,0.003673469972,0.001258772711
719.33,8.13E-04,0.003819444552,0.001552506072
716.33,8.62E-04,0.00385598387,0.001644462139
713.33,8.33E-04,0.003725473236,0.00167715842
710.33,8.52E-04,0.003760464139,0.001880972265
707.33,9.32E-04,0.00376907334,0.00190845002
704.33,8.53E-04,0.003649082817,0.001731839623
701.33,0.00103444148,0.003901504059,0.001219454205
698.33,0.001092692989,0.004021142058,0.001293233542
695.33,0.001027229682,0.003975346991,0.001403106312
692.33,0.001048746811,0.003961274957,0.001418124269
689.33,9.94E-04,0.003917495218,0.001398393114
686.33,0.001107029142,0.00401546942,0.001497326805
683.33,8.82E-04,0.003879111439,0.001451428009
680.33,8.25E-04,0.003944105495,0.001466083644
677.33,7.69E-04,0.003884650175,0.001465444616
674.33,8.24E-04,0.003881796076,0.001406208361
671.33,8.84E-04,0.003956116735,0.001440276614
668.33,9.12E-04,0.003933086457,0.001456226354
665.33,8.13E-04,0.003844631298,0.001364675129
662.33,8.78E-04,0.003924573671,0.00131882466
659.33,8.10E-04,0.003865222261,0.0012750424
656.33,9.63E-04,0.003918370975,0.001395590869
653.33,8.84E-04,0.003948163755,0.001430819714
650.33,9.41E-04,0.004040209464,0.001437738411
647.33,8.50E-04,0.004007838802,0.001402871862
644.33,9.20E-04,0.004155856544,0.001470455978
641.33,8.17E-04,0.004175870583,0.001409547206
638.33,7.45E-04,0.004158928311,0.001415660656
635.33,7.99E-04,0.004206336837,0.001477938382
632.33,8.16E-04,0.004312639698,0.001512345794
629.33,8.36E-04,0.004299876749,0.001525393366
626.33,7.69E-04,0.004285337766,0.001474478144
623.33,8.01E-04,0.004248008097,0.001432002033
620.33,8.13E-04,0.004344270482,0.001501038716
617.33,7.81E-04,0.004268062074,0.001454334359
614.33,7.89E-04,0.004313542576,0.001463423174
611.33,8.36E-04,0.004319741145,0.001467114563
608.33,9.04E-04,0.004372056987,0.00148871092
605.33,8.82E-04,0.004330877629,0.001515833979
602.33,9.06E-04,0.004367601134,0.00156090745
599.33,8.46E-04,0.004287969252,0.001575301053
596.33,8.88E-04,0.004260607526,0.001594569908
593.33,9.49E-04,0.004279311315,0.001612248841
590.33,9.55E-04,0.004318481449,0.001667848849
587.33,9.19E-04,0.004344315906,0.001662217817
584.33,9.61E-04,0.004374544552,0.001630874569
581.33,9.97E-04,0.004437624674,0.001691171076
578.33,9.43E-04,0.004393010258,0.001648042791
575.33,9.65E-04,0.004462734392,0.001678423408
572.33,0.001020632972,0.004580645643,0.00175612419
569.33,0.001023972649,0.00460845209,0.001697443764
566.33,0.001068362412,0.004669787694,0.001725176389
563.33,0.001058904204,0.004674913514,0.001763164647
560.33,9.87E-04,0.004716420757,0.001753597079
557.33,9.61E-04,0.004747524171,0.001736091374
554.33,9.97E-04,0.004798153543,0.00180486527
551.33,9.94E-04,0.004796561147,0.001789221526
548.33,9.97E-04,0.00476134427,0.001804977377
545.33,0.001041976516,0.004757362769,0.001828190011
542.33,0.001027213095,0.004776369172,0.001855095058
539.33,0.001079186013,0.00478187042,0.001912989239
536.33,0.001075495208,0.004728923942,0.001912097118
533.33,0.001064874748,0.004710324968,0.001940695164
530.33,0.001048106729,0.004687626134,0.001950956261
527.33,0.001035348566,0.004664209951,0.00195710602
524.33,0.001029041918,0.004689479585,0.001974840985
521.33,0.001071109874,0.004687132077,0.002054661806
518.33,0.001064798329,0.004686114127,0.002075219943
515.33,0.001081887623,0.004720571294,0.002084549716
512.33,0.001087884514,0.004749253859,0.00212311492
509.33,0.001172251141,0.004767757389,0.002183701347
506.33,0.001257041929,0.004803704887,0.002222379176
503.33,0.001280035737,0.004780653228,0.002135919102
500.33,0.001348918285,0.004846099371,0.002187454012
497.33,0.001394449255,0.005032085978,0.00223381392
494.33,0.001377208613,0.005058856365,0.002272665252
491.33,0.001364995525,0.005136767338,0.002312385638
488.33,0.001316616804,0.005156450505,0.00230266633
485.33,0.001297849723,0.005191837075,0.002297729253
482.33,0.001209912977,0.005261398418,0.002300364582
479.33,0.001108811961,0.005350943672,0.002389148506
476.33,0.001035159112,0.00536000247,0.002397017066
473.33,9.76E-04,0.005444182989,0.002376911852
470.33,0.00106227997,0.005574402383,0.002531255225
467.33,0.00101816829,0.005592884239,0.0025294951
464.33,0.001008496809,0.005604114564,0.002558201046
461.33,0.001065285394,0.005670968705,0.002601101781
458.33,0.001022156219,0.005689536307,0.002613654058
455.33,9.33E-04,0.005761104516,0.002642117123
452.33,0.001022029038,0.005882268342,0.002738957698
449.33,0.001006438418,0.005861817378,0.002759990838
446.33,0.001016957374,0.005864723677,0.002847065594
443.33,0.001069373578,0.005933049969,0.002939861844
440.33,0.001012652121,0.005902886613,0.002933624808
437.33,0.001021283406,0.006035545708,0.002953803402
434.33,9.87E-04,0.0061966137,0.003028082266
431.33,0.001037609765,0.006321404875,0.003120282491
428.33,9.68E-04,0.006392636963,0.003178180834
425.33,9.70E-04,0.00654514521,0.003236760379
422.33,9.89E-04,0.006556056793,0.003301963241
419.33,9.77E-04,0.006654540726,0.003415303591
416.33,9.46E-04,0.006704190094,0.003467477523
413.33,9.56E-04,0.006760097058,0.003629673423
410.33,9.39E-04,0.006853036508,0.003684976308
407.33,9.78E-04,0.006903630541,0.003759780771
404.33,9.82E-04,0.007004385133,0.003925808718
401.33,0.001000141637,0.007109004951,0.00403814887
398.33,0.001021552116,0.007256863797,0.004114890766
395.33,0.001076990421,0.007397915993,0.004283845747
392.33,0.001074591579,0.007482018448,0.004374359548
389.33,0.001035641606,0.007596045212,0.004525544786
386.33,0.001124176946,0.007740000595,0.004650274924
383.33,0.001144212384,0.00788378872,0.004857920031
380.33,0.001142423862,0.008028150226,0.005014587369
377.33,0.001178257853,0.0081842477,0.005279985594
374.33,0.0011457698,0.008334653669,0.005437347145
371.33,0.001205108373,0.008531390624,0.005658343633
368.33,0.001217451606,0.008697214861,0.005852977266
365.33,0.001234472343,0.008897088076,0.006039890022
362.33,0.001292553657,0.009104415533,0.006277226508
359.33,0.001324124166,0.009364295334,0.006487648304
356.33,0.001303297899,0.009630076507,0.006679808534
353.33,0.001312095046,0.009943987073,0.00691567477
350.33,0.001339043054,0.01021128906,0.00709666746
347.33,0.001385855641,0.01052693309,0.007341999424
344.33,0.001368715645,0.01079933796,0.007604685985
341.33,0.001390988009,0.01111415418,0.007818939928
338.33,0.00140953383,0.01145752562,0.008123709797
335.33,0.001419895228,0.01178351054,0.0085350741
332.33,0.001414696621,0.01210017019,0.008860272423
329.33,0.001358520234,0.01241846373,0.009227710973
326.33,0.00141046368,0.01280132395,0.009702659002
323.33,0.001429828875,0.01319961824,0.01010950235
320.33,0.001408877698,0.01362638953,0.01058348697
317.33,0.001401531032,0.01409122812,0.01109228252
314.33,0.001424458128,0.01455269266,0.01163728984
311.33,0.001383125981,0.01503554924,0.01214034169
308.33,0.001416167174,0.01565189437,0.01289677971
305.33,0.00138439515,0.01627396309,0.01356525663
302.33,0.001494543128,0.01705360229,0.01438818602
299.33,0.00145506012,0.01782461833,0.01521383241
296.33,0.001481175446,0.01869013607,0.0161135323
293.33,0.001416430292,0.01955155074,0.01698309104
290.33,0.001491163686,0.02055855058,0.01801303937
287.33,0.00152060092,0.021645807,0.01902957153
284.33,0.001466293252,0.02278427762,0.02014067814
281.33,0.001427443763,0.02380756971,0.02115164064
278.33,0.001405047536,0.02493219779,0.02229462825
275.33,0.001459455107,0.0261170498,0.02349885352
272.33,0.001537567477,0.02740636864,0.02480920147
269.33,0.001506018932,0.02853002693,0.02591015574
266.33,0.001502458039,0.02952224594,0.0270314589
263.33,0.001515866079,0.03044255308,0.02800096413
260.33,0.001557738651,0.03141867537,0.0289839798
257.33,0.001550504963,0.03219322685,0.02970192761
254.33,0.001556031537,0.03308879027,0.03073445383
251.33,0.001521766418,0.03403456746,0.03190175276
248.33,0.001625030984,0.03528070886,0.03347437044
245.33,0.001483075965,0.03669695778,0.03537100909
242.33,0.001296834469,0.03877239872,0.03799706917
239.33,0.001356864834,0.04189903888,0.04195047338
