wavelength,S-Sdark,Sdark,I,Idark,Wavelength,R,Rdark,Mcorrect,XCorrect,Sc,Ic,Rc,Sc/Rc
nm,counts,counts,,,nm,uA,uA,,,counts*Mcorrect,,uA*Xcorrect,counts/uA
,Raw CCD Data,Dark Offset CCD,,,,Raw Ref Detector,Dark Offset Ref,interpolated,Linear interp,Dark Corrected CCD,,Dark Corrected Ref,Fully Corrected Emission Spectrum
246.373,5,1090,3.00945378314083,2.43671686152496E-4,350.0246,4.19931653961684,0.00498150546562955,1,1.00140407128334,5,3.00921011145468,4.20022417952538,1.19041265091831
250.859,-4,1141,,,,,,1.19960498321056,,-4.79841993284225,,,-1.1424199584948
255.349,24,1189,,,,,,1.22699727106094,,29.4479345054626,,,7.01103875574333
259.842,-26,1208,,,,,,1.26878184294701,,-32.9883279166222,,,-7.85394457691776
264.34,-14,1223,,,,,,1.31157783508301,,-18.3620896911621,,,-4.37169277313122
268.841,34,1244,,,,,,1.31022292816639,,44.5475795576572,,,10.606000454645
273.346,20,1211,,,,,,1.28180900073051,,25.6361800146103,,,6.10352660212226
277.854,16,1199,,,,,,1.26321176958084,,20.2113883132935,,,4.81197846815342
282.366,21,1208,,,,,,1.22670573616028,,25.7608204593658,,,6.13320131457288
286.882,3,1251,,,,,,1.18278054451942,,3.54834163355827,,,0.844798154073585
291.402,1,1224,,,,,,1.1486132106781,,1.1486132106781,,,0.273464739400623
295.925,48,1199,,,,,,1.09543268680572,,52.5807689666748,,,12.5185625145885
300.452,0,1182,,,,,,1.06697897386551,,0,,,0
304.982,-2,1229,,,,,,1.05411024451256,,-2.10822048902512,,,-0.501930468212138
309.516,58,1199,,,,,,1.03980416297913,,60.3086414527893,,,14.3584339490194
314.053,170,1164,,,,,,1.02235679531097,,173.800655202866,,,41.3788997382766
318.594,245,1194,,,,,,0.999536742448807,,244.886501899958,,,58.3031979801682
323.139,323,1137,,,,,,0.995280863642693,,321.47571895659,,,76.5377525617969
327.687,340,1287,,,,,,1.00069838243723,,340.237450028658,,,81.0045929660604
332.238,360,1155,,,,,,0.997573046922684,,359.126296892166,,,85.5016974195761
336.793,331,1153,,,,,,0.984104112863541,,325.738461357832,,,77.5526370582059
341.352,350,1172,,,,,,0.968340308666229,,338.91910803318,,,80.6907187681297
345.914,4754,1146,,,,,,0.95966924238205,,4562.26757828426,,,1086.19620841281
350.479,14068,1154,,,,,,0.959027387917042,,13491.5972932169,,,3212.11361978814
355.047,6185,1170,,,,,,0.958035841107368,,5925.45167724907,,,1410.74652780049
359.619,405,1155,,,,,,0.95391713643074,,386.33644025445,,,91.9799571979289
364.194,132,1136,,,,,,0.942750235080719,,124.443031030655,,,29.6277116915024
368.773,145,1116,,,,,,0.927396332025528,,134.472468143702,,,32.0155454556944
373.355,85,1156,,,,,,0.906831366419792,,77.0806661456823,,,18.3515600242062
377.94,106,1124,,,,,,0.87249347448349,,92.4843082952499,,,22.018898121219
382.528,69,1151,,,,,,0.846325183391571,,58.3964376540184,,,13.9031716303812
387.12,93,1152,,,,,,0.80860862493515,,75.200602118969,,,17.903949623819
391.714,430,1176,,,,,,0.767427127361298,,329.993664765358,,,78.5657266519158
396.312,1262,1124,,,,,,0.7264304895401,,916.755277799606,,,218.263416097757
400.913,1292,1152,,,,,,0.683008614122868,,882.447129446745,,,210.095245331991
405.518,553,1127,,,,,,0.669485901713371,,370.225703647494,,,88.1442722634223
410.125,114,1144,,,,,,0.651962585747242,,74.3237347751856,,,17.6951828279757
414.735,52,1173,,,,,,0.635117529332638,,33.0261115252972,,,7.86294019407057
419.349,35,1129,,,,,,0.614941166877747,,21.5229408407211,,,5.12423621235218
423.965,32,1164,,,,,,0.601429192721844,,19.245734167099,,,4.5820730857451
428.585,42,1114,,,,,,0.58304651349783,,24.4879535669088,,,5.8301539442297
433.207,0,1168,,,,,,0.57530374032259,,0,,,0
