Wavelength,I1,I1dark,R1,R1dark,XCorrect,I1c,R1c,I1c/R1c
nm,uA,uA,uA,uA,,,,
,Abs Detector Raw,Dark Offset for Abs Detector,Ref Detector Raw,Dark Offset for Ref Detector,Linear interp,Dark subtracted Abs Detector,Correct Ref Detector,Corrected Intensity 
800,0.142233225826317,2.42233947739661E-4,0.209180670398286,0.00496670655745505,1.35067892074585,0.141990991878578,0.275827496281766,0.514781861100352
795,0.16571709581915,,0.243440119571695,,1.32914304733276,0.165474861871411,0.316965278881591,0.522059900236666
790,0.149744961788734,,0.220334073674032,,1.30966234207153,0.149502727840994,0.282058530423676,0.530041504564419
785,0.15659210432424,,0.230636012948663,,1.28932750225067,0.1563498703765,0.290961643144018,0.53735560703825
780,0.177145968835617,,0.260657582958097,,1.268270611763,0.176903734887877,0.32428522423486,0.545518949576796
775,0.223133547158329,,0.327387568882254,,1.24929487705231,0.222891313210589,0.402798731557158,0.553356541985437
770,0.414402528861707,,0.605409393943208,,1.23221707344055,0.414160294913968,0.739875731019253,0.559770076987686
765,0.35230049389257,,0.511278017976565,,1.22051060199738,0.35205825994483,0.617958323498219,0.569711979849794
760,0.33658454180693,,0.490364448724194,,1.20898902416229,0.33634230785919,0.586840542632746,0.573140884830922
755,0.396398416689996,,0.576037241655788,,1.19543445110321,0.396156182742256,0.682677391666493,0.580297791575013
750,0.468563286396756,,0.678821265903287,,1.1848680973053,0.468321052449017,0.798428769592596,0.586553328593083
745,0.597451954704985,,0.861596104955669,,1.17581367492676,0.597209720757245,1.0072365609809,0.592919026068365
740,0.775973905590768,,1.11253580335482,,1.16803753376007,0.775731671643028,1.29368227629206,0.599630748491369
735,0.976871097170835,,1.39012166558793,,1.1606684923172,0.976628863223095,1.60770571792359,0.607467431592174
730,0.986308737208807,,1.40306260669833,,1.15388596057892,0.986066503261067,1.6132432307155,0.611232382375305
725,1.01157268394624,,1.44824646149825,,1.14589858055115,1.0113304499985,1.65385222252486,0.611499888698969
720,0.986516517359344,,1.41810688642337,,1.13600122928619,0.986274283411605,1.60532898148139,0.614375180906206
715,0.728340446613621,,1.0468348490275,,1.12339866161346,0.728098212665881,1.17043327682856,0.622075796271581
710,0.448807288856069,,0.651273976889825,,1.10628998279572,0.448565054908329,0.715003258976743,0.627360853641814
705,0.313417095305264,,0.466285261808691,,1.08649384975433,0.313174861357525,0.501219773058023,0.624825432258577
700,0.272242074107487,,0.416187231003014,,1.0694442987442,0.271999840159747,0.439777445394903,0.618494292983811
695,0.319259224798522,,0.490497181877961,,1.06210851669312,0.319016990850782,0.515686052951965,0.618626369715874
690,0.372208173561558,,0.569222822127353,,1.06392598152161,0.371965939613818,0.600326741587273,0.619605814377574
685,0.385768137191457,,0.589671705102284,,1.064248919487,0.385525903243717,0.622271662919982,0.619545973593999
680,0.383088670344253,,0.586705135900271,,1.06094348430634,0.382846436396514,0.617191596181862,0.620304033244976
675,0.401659835126004,,0.616055694865023,,1.05628788471222,0.401417601178264,0.645485894830331,0.621884388788663
670,0.416782245343898,,0.640318698002936,,1.0509113073349,0.416540011396158,0.667698591947803,0.623844375919728
665,0.42530099378398,,0.654502180917453,,1.04460680484772,0.42505875983624,0.678509176506444,0.626459854271703
660,0.440394824900425,,0.678755500217514,,1.03775990009308,0.440152590952686,0.699230991192499,0.629480953357102
655,0.473101269471885,,0.729904936963815,,1.03209853172302,0.472859035524146,0.74820768319229,0.631989013406884
650,0.505435569269442,,0.780198075800939,,1.02793705463409,0.505193335321702,0.796889050360103,0.63395692925309
645,0.51058513559408,,0.788969955953877,,1.02511239051819,0.51034290164634,0.803691445162794,0.634998549154603
640,0.537726658312776,,0.831908768038161,,1.02288675308228,0.537484424365036,0.845868080255163,0.635423462489446
635,0.574530583031437,,0.8894080723128,,1.01995265483856,0.574288349083698,0.902088319051208,0.636620979293601
630,0.608184849559559,,0.942187172748878,,1.01619136333466,0.60794261561182,0.952395343284204,0.63833010093835
625,0.647750732580173,,1.00393973994597,,1.01184904575348,0.647508498632433,1.01080991056763,0.640583844561652
620,0.67643657810764,,1.04894990791798,,1.00772297382355,0.6761943441599,1.05204585629685,0.642742272223826
615,0.695364623075952,,1.07883898586251,,1.00676500797272,0.695122389128213,1.08113703383624,0.642954932976152
610,0.716990465274696,,1.11284504743317,,1.00835275650024,0.716748231326956,1.11713217888895,0.64159662112661
605,0.74831239874329,,1.16168992944015,,1.00748717784882,0.74807016479555,1.16538381537427,0.641908832889791
600,0.789585863544189,,1.2254462609725,,1.00393652915955,0.78934362959645,1.22528400776963,0.644212790333633
595,0.839155436100025,,1.30179270323335,,1.00194668769836,0.838913202152286,1.29935051189054,0.645640413787711
590,0.887406483270505,,1.3759107244826,,1.00122630596161,0.887164249322765,1.37262521474736,0.646326644586704
585,0.92567088619378,,1.43426947913222,,0.999503612518311,0.92542865224604,1.42859328457092,0.647790145901459
