800,2.40E-04
798,3.05E-04
796,1.27E-04
794,1.95E-04
792,2.80E-04
790,3.34E-04
788,2.42E-04
786,2.77E-04
784,1.55E-04
782,1.79E-04
780,1.67E-05
778,1.69E-04
776,3.87E-07
774,-3.62E-05
772,9.81E-05
770,-3.05E-05
768,-1.54E-04
766,1.78E-04
764,2.47E-04
762,1.18E-04
760,4.64E-05
758,1.36E-04
756,-9.89E-05
754,4.02E-08
752,-8.52E-06
750,-7.21E-05
748,-4.74E-05
746,5.87E-05
744,-9.42E-05
742,-8.55E-05
740,-8.30E-05
738,-1.95E-04
736,-1.20E-04
734,-2.91E-05
732,-1.80E-05
730,5.32E-05
728,-5.07E-05
726,6.34E-06
724,-5.94E-05
722,-4.30E-05
720,6.95E-06
718,4.16E-05
716,2.20E-04
714,3.40E-04
712,2.46E-04
710,1.59E-04
708,-5.78E-05
706,-1.26E-04
704,-2.56E-04
702,-1.83E-04
700,-4.22E-04
698,-2.53E-04
696,-1.38E-04
694,-4.46E-05
692,-6.02E-05
690,1.10E-04
688,-5.90E-05
686,5.22E-05
684,-6.57E-05
682,1.32E-06
680,-1.40E-04
678,1.93E-05
676,4.01E-05
674,-4.93E-05
672,-3.55E-05
670,-1.04E-04
668,8.92E-05
666,-9.12E-05
664,-1.09E-04
662,-5.55E-06
660,-2.52E-05
658,-5.57E-05
656,-1.12E-04
654,1.58E-05
652,-9.89E-06
650,-3.95E-05
648,-1.60E-04
646,2.66E-05
644,-3.40E-05
642,-1.58E-05
640,-9.36E-05
638,-2.66E-05
636,-4.73E-05
634,-8.34E-05
632,-6.76E-05
630,-7.07E-05
628,-7.27E-05
626,-9.08E-05
624,1.13E-05
622,-1.88E-05
620,-7.37E-05
618,-3.65E-05
616,-5.39E-05
614,1.55E-06
612,-9.76E-05
610,-1.24E-04
608,-6.85E-05
606,-7.95E-05
604,-3.84E-05
602,-1.17E-04
600,-4.05E-05
598,1.74E-05
596,-1.37E-04
594,-6.43E-05
592,-5.08E-05
590,-7.05E-05
588,4.39E-06
586,-1.08E-04
584,-9.66E-05
582,-6.04E-05
580,9.52E-06
578,-1.57E-04
576,-5.36E-05
574,-8.39E-05
572,-5.04E-05
570,-7.67E-05
568,-1.03E-04
566,-2.50E-05
564,-6.62E-05
562,-8.67E-05
560,-7.37E-05
558,-7.17E-05
556,-7.69E-05
554,-1.29E-05
552,-1.06E-04
550,-1.02E-04
548,-1.36E-05
546,-1.35E-06
544,-6.28E-05
542,-1.11E-04
540,-2.85E-05
538,-8.33E-05
536,-4.29E-05
534,-4.69E-05
532,-4.64E-05
530,-7.36E-05
528,-4.52E-05
526,2.12E-05
524,-5.30E-05
522,-3.29E-05
520,-1.50E-05
518,1.34E-05
516,-4.18E-05
514,-5.89E-05
512,-4.04E-05
510,-5.89E-06
508,2.06E-05
506,5.04E-05
504,-1.45E-06
502,-1.64E-05
500,-4.65E-06
498,5.59E-05
496,-4.28E-05
494,3.13E-05
492,2.85E-05
490,8.41E-05
488,5.05E-05
486,9.04E-05
484,9.90E-05
482,3.87E-05
480,5.33E-05
478,1.39E-04
476,1.41E-04
474,1.18E-04
472,3.78E-05
470,1.71E-04
468,1.59E-04
466,1.33E-04
464,2.12E-04
462,3.44E-04
460,1.73E-04
458,1.64E-04
456,1.69E-04
454,1.02E-04
452,1.13E-04
450,1.55E-05
448,7.79E-05
446,1.12E-04
444,1.41E-04
442,1.23E-04
440,1.09E-04
438,1.93E-04
436,1.61E-04
434,2.85E-04
432,3.67E-04
430,2.95E-04
428,3.79E-04
426,3.67E-04
424,3.78E-04
422,3.58E-04
420,3.81E-04
418,2.65E-04
416,3.02E-04
414,2.49E-04
412,2.08E-04
410,2.74E-04
408,3.06E-04
406,2.90E-04
404,3.40E-04
402,3.63E-04
400,4.90E-04
398,5.31E-04
396,6.39E-04
394,6.88E-04
392,7.01E-04
390,7.64E-04
388,7.97E-04
386,8.84E-04
384,9.11E-04
382,8.97E-04
380,9.53E-04
378,9.62E-04
376,0.001020632
374,0.001070941
372,0.001093581
370,0.001150626
368,0.001156615
366,0.001284514
364,0.001300054
362,0.001388237
360,0.0014508
358,0.00155647
356,0.001611716
354,0.001659821
352,0.001745028
350,0.001828151
348,0.001892565
346,0.001972804
344,0.002028916
342,0.002133289
340,0.002213645
338,0.002301722
336,0.00243062
334,0.002515158
332,0.002623216
330,0.002716503
328,0.002872286
326,0.00288668
324,0.002990608
322,0.003143603
320,0.003275939
318,0.003440329
316,0.003577724
314,0.003844511
312,0.004063451
310,0.004247646
308,0.004543422
306,0.004819766
304,0.005083179
302,0.005369305
300,0.005599714
298,0.005887468
296,0.00631491
294,0.00674798
292,0.007074044
290,0.007579083
288,0.00809658
286,0.00867507
284,0.00923531
282,0.009737829
280,0.010433432
278,0.011089249
276,0.011788023
274,0.012452205
272,0.013284529
270,0.014078884
268,0.014810162
266,0.015612862
264,0.016354955
262,0.017059907
260,0.017827685
258,0.018302936
256,0.018885211
254,0.019365961
252,0.019769544
250,0.020119147
248,0.02048768
246,0.020837654
244,0.021347009
242,0.02183585
240,0.022336775
