Site,Date,Lat_degrees,Long_degrees,Time,Depth_m,Temp_C,DO_%,DO_mg_L,SPC,pH,ORP
GB1,22-May-24,44.75187,-79.77777,1059,0,21.2,115.1,10.23,NA,NA,NA
GB1,22-May-24,44.75187,-79.77777,1059,0.25,21.2,115.3,10.26,NA,NA,NA
GB1,22-May-24,44.75187,-79.77777,1059,0.5,21.1,115.4,10.27,NA,NA,NA
GB1,22-May-24,44.75187,-79.77777,1059,0.75,21.1,115.2,10.26,NA,NA,NA
GB1,22-May-24,44.75187,-79.77777,1059,1,21.1,114.3,10.19,NA,NA,NA
GB1,22-May-24,44.75187,-79.77777,1059,1.25,21,110.2,9.83,NA,NA,NA
GB1,22-May-24,44.75187,-79.77777,1059,1.5,20.5,107.2,9.66,NA,NA,NA
GB1,22-May-24,44.75187,-79.77777,1059,1.75,20.4,99.5,9,NA,NA,NA
GB1,22-May-24,44.75187,-79.77777,1059,2,20.3,37.7,3.41,NA,NA,NA
GB1,22-May-24,44.75187,-79.77777,1059,2.25,20.2,16.4,1.49,NA,NA,NA
GB1,22-May-24,44.75187,-79.77777,1059,2.5,20.2,6,0.54,NA,NA,NA
GB1,22-May-24,44.75187,-79.77777,1059,2.75,20.2,3.6,0.33,NA,NA,NA
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
