wavelength,KW123Feb2401s_1_0.1s,KW123Feb241s_1_1s,KWB23Feb2401s_1_0.1s,PosT25062024_1_0.1s,PreT25062024_1_0.1s
200,0.470533387778628,0.468631915649762,0.0242790542035347,0.644725958263839,0.711349025812542
202,0.430988224231373,0.428959149220741,0.020278463937247,0.674174517683883,0.731192105051574
204,0.400451327550173,0.399637535840889,0.0184638512713081,0.700325094555193,0.756040751427649
206,0.377629990381402,0.374943987189993,0.0156169987071779,0.715263964201627,0.76818852001934
208,0.35545447731263,0.352681535105614,0.0138873455476506,0.716799815196384,0.764514806374532
210,0.332549039722168,0.329770636414103,0.0125957945955588,0.696611796055274,0.738753457118487
212,0.307829859523078,0.305114046691101,0.0110347732088928,0.657697342364376,0.697310971850604
214,0.28062452294918,0.278464075365433,0.010129241115845,0.604278444420021,0.640722154128442
216,0.25016575562589,0.248201562238032,0.00919814549236507,0.54429622963312,0.578547536448765
218,0.218416456717117,0.2163437861575,0.00795230626314345,0.486876796786843,0.516896544703993
220,0.187264095374069,0.185702590692082,0.00781205676334409,0.434680173829508,0.461599238482664
222,0.156899365841966,0.156980667186926,0.00696630494562832,0.388224962279254,0.412201404271326
224,0.131261225870015,0.130533843309282,0.00663188984023192,0.349574483719379,0.371034375366175
226,0.109596537440958,0.108751777362184,0.00629527784936073,0.314018781349943,0.332978427220491
228,0.0903784865847256,0.089678631399788,0.00593412341308215,0.283771540993987,0.300478139399776
230,0.0749025710347614,0.073964466918223,0.00538038610638505,0.254213970786194,0.269049499088356
232,0.063192234517255,0.0624720781782089,0.00509255549632823,0.227853747842173,0.241087652577305
234,0.0548836470400785,0.054372798977281,0.00474295213845727,0.204555216611749,0.216020282137048
236,0.0487031597309165,0.0484256214197506,0.0047256217700519,0.183760840498775,0.193328987429699
238,0.0445465594224735,0.0441749667004514,0.00456533742471985,0.166721427303152,0.175568532320426
240,0.0413392636433915,0.0407902037222823,0.00433671867312143,0.150841943515798,0.159293054518653
242,0.0388786260031624,0.0384933841472358,0.00407016317687792,0.138766746208172,0.146530160330644
244,0.0373029268973593,0.0369236194847056,0.00395686255433979,0.129592501010755,0.137215118699554
246,0.0359699581977952,0.0355946365369471,0.00405136052375261,0.123207373892518,0.130355039609795
248,0.0347647209401129,0.0344871691732641,0.00386976067946976,0.119154867789666,0.125984537311798
250,0.0338851305557988,0.0335961293125201,0.00389906387995627,0.117404878375466,0.123778055536685
252,0.0330655665420601,0.0327259897411401,0.00380783766550048,0.117300446508071,0.123336587522156
254,0.0323623807792384,0.0319274607650154,0.00368171639595076,0.118632744893249,0.124387903301621
256,0.0317491134933033,0.0313023674471382,0.00367232157444267,0.120982319151489,0.126518723087507
258,0.031123494569737,0.0306694364319724,0.00364267824500442,0.124332497712071,0.129557085344303
260,0.0304970978752318,0.0300144672254092,0.00360144540534559,0.127934635287165,0.132967831294146
262,0.0297722530157497,0.0293791091618334,0.0034697907057599,0.131658739334432,0.136528940748319
264,0.029255409267914,0.0287489700158473,0.00357210004965361,0.135352667595295,0.139945670291278
266,0.0284088197005825,0.0279748595845418,0.00338917931305695,0.138414348538778,0.142813591400307
268,0.027589654749831,0.0272361598482406,0.00333231824790546,0.140609558373351,0.144929855922018
270,0.0269188150956791,0.0264467076805673,0.00345343280035705,0.141807403649905,0.146045711277548
272,0.0260773731189164,0.0255989597904113,0.00331465570038049,0.14157086631923,0.145719336210614
274,0.0251860016331445,0.0247707164569175,0.00317598255602804,0.140111137212946,0.144176999675651
276,0.0243351469903103,0.0238647440922752,0.0032013818792928,0.137228724351448,0.141153141762111
278,0.0235863964151632,0.0231044979331433,0.00322396182662497,0.133415310109858,0.137294608101628
280,0.02264092318327,0.0223115096841106,0.00310823610434904,0.128390044555824,0.132239115213333
282,0.0219068100413687,0.0215227626123124,0.00320641960934596,0.122487948933734,0.126234527057295
284,0.021175309388925,0.020861951780285,0.00320610816517901,0.11583028933784,0.119392168073698
286,0.0203202431124694,0.0199362257746807,0.0031608123537349,0.108445260552078,0.111831441998291
