"Wavelength","I1","I1.dark","R1","R1dark","XCorrect","I1c","R1c","I1c.R1c","Abs","Percent.T"
"nm","uA","uA","uA","uA","","uA","uA","uA/uA","OD","T*100"
"","Abs Detector Raw","Dark Offset for Abs Detector","Ref Detector Raw","Dark Offset for Ref Detector","Linear interp","Dark subtracted Abs Detector","Corrected Ref Detector","Corrected Intensity ","-Log(T)","% Transmittance"
"800","0.144799800484946","2.31241768866653E-4","0.212964963824937","0.00493614038879209","1.35067892074585","0.144568558716079","0.280980146722762","0.514515208288801","2.10982229212042E-4","99.9514313448047"
"798","0.153422974927113","","0.225888059476424","","1.34199333190918","0.153191733158247","0.296516002088139","0.516639007943695","2.89816779278165E-4","99.9332894818006"
"796","0.166257608703038","","0.244408565116836","","1.33337259292603","0.166026366934171","0.319305967893915","0.51996011233129","2.2066549556661E-4","99.9492027980865"
"794","0.167713695618912","","0.246162014740567","","1.32502686977386","0.167482453850045","0.319630765200796","0.523987275582907","4.61022831408329E-4","99.89390189397"
"792","0.157473372211649","","0.231280910139995","","1.31713449954987","0.157242130442782","0.29812650503198","0.527434252871661","3.18362719515194E-4","99.9267211368705"
"790","0.151773955692369","","0.223470423949891","","1.30966234207153","0.151542713923503","0.286206121631553","0.529488024433632","2.46891852268179E-4","99.9431672060924"
"788","0.153423164136097","","0.226102971508646","","1.30193436145782","0.15319192236723","0.287944697049678","0.532018557510717","3.15458296958881E-4","99.9273894170477"
"786","0.157662705363663","","0.232253622462158","","1.29363858699799","0.157431463594797","0.294066666309329","0.535359772566654","2.27186882012207E-4","99.9477019674064"
"784","0.162700097006133","","0.239683297725439","","1.28498160839081","0.162468855237266","0.301645779799615","0.538608083113892","2.23442477159177E-4","99.9485637012972"
"782","0.170000178802219","","0.25031099505541","","1.27644824981689","0.169768937033353","0.313208303788279","0.542032043786783","1.53710715844017E-4","99.9646130623607"
"780","0.182144555889923","","0.268215515781596","","1.268270611763","0.181913314121056","0.333909494494012","0.544798267556655","2.6767580783717E-4","99.9383843577498"
"778","0.197343949673794","","0.290251872619508","","1.26044166088104","0.197112707904927","0.359623835408374","0.548108018705418","1.2667492387141E-4","99.9708362743052"
"776","0.217588150108649","","0.319578428898809","","1.25292003154755","0.217356908339782","0.394221626046162","0.551357140194867","2.10256345728785E-4","99.951598404615"
"774","0.255979670646162","","0.375596859766279","","1.24577045440674","0.255748428877295","0.46175817280962","0.553857936766262","-6.44100316744733E-6","100.001483106786"
"772","0.344927802424227","","0.505835253410911","","1.23883104324341","0.34469656065536","0.620529370744889","0.555487905820772","5.66282709250551E-6","99.9986960943762"
"770","0.432258267010574","","0.631785222390062","","1.23221707344055","0.432027025241708","0.772414141312501","0.559320450176636","2.10580626672653E-4","99.9515237723369"
"768","0.438509774553954","","0.637812471511486","","1.22665858268738","0.438278532785087","0.776323183351351","0.564556800806926","3.58629874810676E-4","99.9174565055367"
"766","0.375154229763165","","0.544721582906408","","1.22236526012421","0.374922987994298","0.659814972854305","0.568224431725779","4.19196224973347E-4","99.9035230710774"
"764","0.330048599450234","","0.481097176727533","","1.2186872959137","0.329817357681367","0.580291405795123","0.568365056569202","2.04582664257645E-4","99.9529041942573"
"762","0.328586380217795","","0.479697378149142","","1.214359998703","0.328355138448929","0.576531056070894","0.569535907894876","3.39959679823134E-4","99.9217520206125"
"760","0.345178473047004","","0.503679047670015","","1.20898902416229","0.344947231278138","0.602974700781791","0.57207579493948","1.16789261400027E-4","99.9731118942671"
"758","0.368586520438822","","0.537590255115079","","1.2031888961792","0.368355278669955","0.64088351634283","0.574761667723889","1.73075677062095E-4","99.9601557925172"
"756","0.394066128491307","","0.574125597376318","","1.19780671596527","0.393834886722441","0.681778954236284","0.577657735363227","2.19199592022152E-4","99.9495401639615"
"754","0.419108788913703","","0.609776993413061","","1.1931779384613","0.418877547144836","0.721682762108673","0.58041783611531","3.25886793252291E-4","99.9249899394074"
"752","0.444054473628478","","0.645465158553661","","1.18890511989594","0.443823231859611","0.761528229138129","0.582806014114427","2.05193207628209E-4","99.9527636777583"
"750","0.483738923237973","","0.702494224793069","","1.1848680973053","0.483507681469106","0.826514320228024","0.584996133322546","2.46129205273904E-4","99.9433427124048"
"748","0.535783809809797","","0.77699396357009","","1.18107759952545","0.53555256804093","0.911860200497813","0.587318722484604","2.48513678252203E-4","99.9427939797918"
"746","0.590594357991664","","0.85457735101643","","1.17750906944275","0.590363116222797","1.00046023128636","0.590091537635361","1.41908170550306E-4","99.9673297740726"
