wavelength,S-Sdark,Sdark,I,Idark,Wavelength,R,Rdark,Mcorrect,XCorrect,Sc,Ic,Rc,Sc/Rc
nm,counts,counts,,,nm,uA,uA,,,counts*Mcorrect,,uA*Xcorrect,counts/uA
,Raw CCD Data,Dark Offset CCD,,,,Raw Ref Detector,Dark Offset Ref,interpolated,Linear interp,Dark Corrected CCD,,Dark Corrected Ref,Fully Corrected Emission Spectrum
246.373,4,1112,2.99961876731099,2.76950800742724E-4,350.0246,4.18230753699926,0.00500891428471864,1,1.00140407128334,4,2.99934181651025,4.18316384775263,0.956214039320732
250.859,1,1142,,,,,,1.19960498321056,,1.19960498321056,,,0.286769781646263
255.349,15,1187,,,,,,1.22699727106094,,18.4049590659141,,,4.39977006298762
259.842,-17,1201,,,,,,1.26878184294701,,-21.5692913300991,,,-5.15621479700993
264.34,-12,1220,,,,,,1.31157783508301,,-15.7389340209961,,,-3.76244741870479
268.841,8,1264,,,,,,1.31022292816639,,10.4817834253311,,,2.50570711710524
273.346,-1,1224,,,,,,1.28180900073051,,-1.28180900073051,,,-0.306420940556549
277.854,46,1207,,,,,,1.26321176958084,,58.1077414007187,,,13.8908595301464
282.366,17,1239,,,,,,1.22670573616028,,20.8539975147247,,,4.98522129988486
286.882,9,1228,,,,,,1.18278054451942,,10.6450249006748,,,2.54473056473601
291.402,12,1240,,,,,,1.1486132106781,,13.7833585281372,,,3.29496023339898
295.925,-2,1236,,,,,,1.09543268680572,,-2.19086537361145,,,-0.523734057127232
300.452,-1,1199,,,,,,1.06697897386551,,-1.06697897386551,,,-0.255065068617557
304.982,30,1215,,,,,,1.05411024451256,,31.6233073353767,,,7.55966261096038
309.516,47,1200,,,,,,1.03980416297913,,48.8707956600189,,,11.6827352307212
314.053,87,1197,,,,,,1.02235679531097,,88.9450411920548,,,21.2626242789509
318.594,156,1208,,,,,,0.999536742448807,,155.927731822014,,,37.2750715719119
323.139,222,1154,,,,,,0.995280863642693,,220.952351728678,,,52.8194351859735
327.687,196,1294,,,,,,1.00069838243723,,196.136882957697,,,46.8872102781892
332.238,242,1145,,,,,,0.997573046922684,,241.412677355289,,,57.7105478392835
336.793,254,1139,,,,,,0.984104112863541,,249.962444667339,,,59.7543997234604
341.352,304,1176,,,,,,0.968340308666229,,294.375453834534,,,70.3714854469983
345.914,3588,1141,,,,,,0.95966924238205,,3443.29324166679,,,823.131334794995
350.479,9492,1132,,,,,,0.959027387917042,,9103.08796610856,,,2176.12512859115
355.047,3928,1131,,,,,,0.958035841107368,,3763.16478386974,,,899.597749653404
359.619,316,1138,,,,,,0.95391713643074,,301.437815112114,,,72.0597676980926
364.194,167,1093,,,,,,0.942750235080719,,157.43928925848,,,37.6364146824091
368.773,87,1155,,,,,,0.927396332025528,,80.6834808862209,,,19.2876692911676
373.355,93,1136,,,,,,0.906831366419792,,84.3353170770407,,,20.1606535499079
377.94,61,1150,,,,,,0.87249347448349,,53.2221019434929,,,12.7229302701318
382.528,53,1152,,,,,,0.846325183391571,,44.8552347197533,,,10.7228012940137
387.12,114,1135,,,,,,0.80860862493515,,92.1813832426071,,,22.0362832051464
391.714,547,1174,,,,,,0.767427127361298,,419.78263866663,,,100.350513139033
396.312,1274,1164,,,,,,0.7264304895401,,925.472443674087,,,221.237435911407
400.913,1247,1136,,,,,,0.683008614122868,,851.711741811216,,,203.60468124355
405.518,465,1149,,,,,,0.669485901713371,,311.310944296718,,,74.4199738826789
410.125,84,1159,,,,,,0.651962585747242,,54.7648572027683,,,13.0917313296705
414.735,70,1172,,,,,,0.635117529332638,,44.4582270532846,,,10.6278952179149
419.349,51,1133,,,,,,0.614941166877747,,31.3619995107651,,,7.49719605834087
423.965,15,1180,,,,,,0.601429192721844,,9.02143789082766,,,2.15660639151735
428.585,19,1138,,,,,,0.58304651349783,,11.0778837564588,,,2.64820699347224
433.207,53,1154,,,,,,0.57530374032259,,30.4910982370973,,,7.289004052155
