wavelength,LJBotA_1_0.5s,LJBotB_1_0.5s,LJMidA_1_0.5s,LJMidB_1_0.5s,LJTopA_1_0.5s,LJTopB_1_0.5s,LonBotA_1_0.5s,LonBotB_1_0.5s,LonMidA_1_0.5s,LonMidB_1_0.5s,LonTopA_1_0.5s,LonTopB_1_0.5s,OTBotA_1_0.5s,OTBotB_1_0.5s,OTMidA_1_0.5s,OTMidB_1_0.5s,OTTopA_1_0.5s,OTTopB_1_0.5s,PosT29Aug24_1_0.5s,PreT29Aug24_1_0.5s
240,0.0741436381825551,0.0737979531614832,0.0795080999303153,0.0803310260337158,0.0809045007900095,0.0836522839520673,0.356729373354252,0.348638803298907,0.296011160077812,0.304652802137568,0.292764876898274,0.299274268209784,0.26989261008734,0.271928591204352,0.284416796644745,0.284001719100048,0.269930830266599,0.269139563219918,0.173051578575455,0.175809583864211
242,0.0715543616601917,0.0713083049368687,0.0770209822513458,0.0778716732776245,0.0783037039724878,0.0808463916442823,0.346423132041592,0.338556419836903,0.288209167802149,0.296534946282168,0.284924152419288,0.291375634255819,0.262587001041873,0.264393381775795,0.276715961200285,0.27622009628652,0.262560509102951,0.261886497081447,0.167238768563936,0.169784305385281
244,0.0692581683272545,0.0689136044063419,0.074527504972523,0.0752773405380924,0.0758334643645505,0.0783318727303035,0.337354028186532,0.329647687863157,0.281225631086454,0.289274175455257,0.277963084180267,0.284350824992471,0.25604938180347,0.257826751868027,0.269885444852087,0.269307461765601,0.256092323679966,0.255432725735744,0.164310517007401,0.166525823171105
246,0.06719153897171,0.0670199928865438,0.0725298729738395,0.0732924891880804,0.0738265883983661,0.0761956151451863,0.328964879446727,0.321503686373298,0.274872704129885,0.282704715530692,0.271627247079811,0.278062535977445,0.250451981728196,0.252158003097767,0.264059481573995,0.263396577807342,0.250557291685605,0.249916910566227,0.163752660930339,0.165740572109362
248,0.0653383925298364,0.0651225011463393,0.0705973351516269,0.0713714678148813,0.0717859378987945,0.0741138900412671,0.321571426143695,0.314356350099773,0.269191870752308,0.276822019855024,0.26609334233763,0.272336588151902,0.245277312232527,0.246934813307643,0.25864793473602,0.257848926994735,0.245283293044824,0.244748512586431,0.164899622742491,0.166596261861184
250,0.0638634116663543,0.0637587379941087,0.0689817613829136,0.0696031331612738,0.0702523453111675,0.0722207181886774,0.314921213453163,0.30775175826078,0.263863894245257,0.271390142189559,0.260864563650676,0.267160701744382,0.240817914312213,0.242378948091048,0.254057650247389,0.253208675236913,0.240835786682021,0.240364235005921,0.1672314544201,0.168827364771968
252,0.0622251962790486,0.062156647870189,0.0672978065710036,0.0679208570441677,0.0685785128876425,0.0704925548327233,0.308412099531038,0.301245627554809,0.25846210953067,0.265798426074488,0.255436489696779,0.261886361931781,0.236187007596019,0.23773177700203,0.24928269711737,0.248342888332667,0.236403280216996,0.235845911133978,0.170257142564923,0.171616315370647
254,0.0606294813884824,0.0605731139242623,0.065600712637037,0.0662671875907124,0.066814021084551,0.0686818040257358,0.301921342393077,0.294791400697844,0.253039784263712,0.260247252987351,0.250020237965778,0.256450905385214,0.23152338922738,0.233067946804608,0.244478482633094,0.243467011283897,0.231727526659505,0.231187887896134,0.17356626790699,0.174878986408056
256,0.0592412756243317,0.059179539605847,0.0641090504397809,0.0646768759226971,0.0653270743346063,0.0670538924848218,0.295789299344011,0.288630730831446,0.247668093459792,0.254688666979924,0.24470304111027,0.251127275627383,0.227080062055998,0.22847555278905,0.239777520868439,0.238678220054117,0.227193272774587,0.226689867053841,0.177123260298125,0.178291894163699
258,0.0578034670323263,0.0577808105390899,0.0626183764141474,0.0630894199351547,0.0637489676034978,0.0653346100816303,0.289482148369603,0.282411033074262,0.242138492929277,0.249070410987745,0.239206700277684,0.245565899843875,0.222286391204399,0.223735407750811,0.234768784330048,0.233675114662587,0.222447404925699,0.221894892034638,0.180331043235797,0.181415191499576
260,0.0563996593811317,0.0564147700497142,0.0610955715642604,0.0616213130024493,0.0622719299759954,0.0637346105826101,0.283212207464439,0.276157277058012,0.236440921478976,0.243315666202097,0.233567613618596,0.239890524327666,0.217424317322469,0.218783745764369,0.229680423273458,0.228573305827484,0.21751194543042,0.216967750422113,0.183000788142935,0.184045487288772
262,0.0548543331481316,0.0548318997435241,0.0594686748863681,0.0600127511598199,0.0605279541444178,0.0620756134882813,0.276452822271141,0.269328255921199,0.230218959907446,0.236887111132731,0.227347424258897,0.233598397975149,0.211841331764617,0.213169506550935,0.223989998157532,0.222790723334198,0.212159375567248,0.21155689649207,0.18508737678266,0.186179900840952
264,0.0533440701613272,0.0533453780853905,0.0579338079234496,0.0584554728422189,0.0589513914382094,0.06038833766393,0.269558352590281,0.262444399183692,0.224012211339471,0.230474770490763,0.221210717182656,0.227331301459615,0.206328530041715,0.207678805256722,0.218235746068856,0.217062646661163,0.206568319865859,0.206031530020739,0.185984339094472,0.187174405480413
266,0.0516914229172959,0.0516783334559628,0.0562268904536731,0.0567599879472769,0.0571543326671902,0.0586825344005616,0.26246545426223,0.255375765279562,0.217407176309295,0.22377394423179,0.214744923305319,0.220760802067673,0.20031688502167,0.201581677994561,0.211949297389362,0.210831721893105,0.200661603541472,0.20003985822155,0.185585151912147,0.186922884224197
268,0.0500065620568608,0.0499867429596681,0.0545143117882149,0.055064086354404,0.0553674349821395,0.0568188926831669,0.255224848364088,0.248172894321889,0.210569250956442,0.21674238235283,0.207983739801652,0.213849618299375,0.194178292425158,0.195295156589263,0.205497184316253,0.204478364273638,0.194415323740276,0.19383054895826,0.18359464165318,0.185044256588168
