Wavelength	I	Idark	R	Rdark	XCorrect	Ic	Rc	Ic/Rc
nm	uA	uA	uA	uA				
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp 	Dark subtracted Abs Detecto	Corrected Ref Detector	Corrected Intensity
700	0.297338617281132	2.54888905460396E-4	0.425582890526628	0.00496938717286944	1.0694442987442	0.297083728375671	0.449822713136502	0.660446259603435
698	0.313623807035395		0.450671377288561		1.0649927854538	0.313368918129935	0.474669403935611	0.660183520428553
696	0.342521270909185		0.492158259141831		1.06259047985077	0.342266382003724	0.517682257243454	0.661151463498515
694	0.370961613507945		0.532084909983269		1.06203079223633	0.370706724602485	0.559812916290395	0.662197519590966
692	0.392679536394797		0.562095420117259		1.06277585029602	0.392424647489337	0.592100093384522	0.662767413607699
690	0.407057466024846		0.582123238335571		1.06392598152161	0.406802577119385	0.614048977587253	0.66249206816989
688	0.416280998092483		0.595264339357281		1.06461536884308	0.416026109187022	0.628437078246015	0.662001214740802
686	0.416754171613541		0.595776155761486		1.0645604133606	0.416499282708081	0.628949497784935	0.662214190765599
684	0.411426429630435		0.588394716581996		1.06376242637634	0.411171540724975	0.62062594402167	0.662511041772721
682	0.41082582233303		0.588182990203448		1.06245732307434	0.41057093342757	0.619639563456409	0.662596382867107
680	0.416852163556509		0.597411112114816		1.06094348430634	0.416597274651049	0.628547187908365	0.662793951934415
678	0.426169383062736		0.611038002624331		1.05921316146851	0.425914494157276	0.641955854239182	0.663463836874034
676	0.434445187167851		0.623284470165728		1.05730748176575	0.434190298262391	0.653749163336958	0.664154269882558
674	0.440806136849465		0.632733894871622		1.05524814128876	0.440551247944005	0.662447329916161	0.665035887456533
672	0.447535122418281		0.642880928522483		1.05312037467957	0.44728023351282	0.671797641438524	0.665796075965758
670	0.453196506978179		0.651445200033672		1.0509113073349	0.452941618072718	0.679388741653938	0.666689908593502
668	0.456402317512244		0.656479953431523		1.0485315322876	0.456147428606783	0.683129372340746	0.667732126703602
666	0.460900048512338		0.663416479893064		1.04595601558685	0.460645159606878	0.688706697576362	0.668855350511243
664	0.465733733795758		0.670704411687673		1.04322910308838	0.465478844890298	0.694514152519099	0.670222259981228
662	0.473130454652433		0.68194872469206		1.04042720794678	0.472875565746972	0.70434772197275	0.671366643200796
