Loaction,Lat,Long,Type
Duluth,46.7836172,-92.0971038,City
Sault Ste. Marie,46.5038647,-84.35922,City
Marquette,46.5423237,-87.3928819,City
Houghton,47.1228645,-88.5760631,City
