wavelength,fd3t1blank,fd3t1a,fd3t1b
827.33,0.001643669173,4.86E-04,5.89E-04
824.33,0.00128039252,4.92E-04,6.91E-04
821.33,0.001480607695,4.64E-04,6.67E-04
818.33,0.001369920308,4.26E-04,5.76E-04
815.33,0.001319062754,4.57E-04,6.64E-04
812.33,0.001365735297,4.31E-04,7.30E-04
809.33,0.001389553969,4.90E-04,6.92E-04
806.33,0.001270161785,4.94E-04,6.83E-04
803.33,0.001409951355,5.97E-04,7.88E-04
800.33,0.00138701595,5.16E-04,7.70E-04
797.33,0.001395488404,6.25E-04,7.58E-04
794.33,0.001412392726,6.58E-04,8.09E-04
791.33,0.001366418708,7.16E-04,7.55E-04
788.33,0.001338057873,6.19E-04,6.54E-04
785.33,0.001330208675,6.95E-04,7.26E-04
782.33,0.001290164031,6.38E-04,6.34E-04
779.33,0.001094870581,4.24E-04,5.70E-04
776.33,0.001036351847,3.95E-04,5.07E-04
773.33,0.001105592137,3.27E-04,6.14E-04
770.33,0.001100283528,3.44E-04,6.03E-04
767.33,0.001103524991,2.92E-04,4.74E-04
764.33,0.001067487266,3.85E-04,6.03E-04
761.33,9.77E-04,3.04E-04,3.77E-04
758.33,9.13E-04,2.54E-04,5.32E-04
755.33,9.27E-04,3.34E-04,4.50E-04
752.33,8.18E-04,1.32E-04,4.04E-04
749.33,7.83E-04,2.07E-04,3.59E-04
746.33,7.12E-04,1.55E-04,3.03E-04
743.33,7.90E-04,1.13E-04,3.39E-04
740.33,7.09E-04,1.61E-04,3.55E-04
737.33,9.09E-04,2.57E-04,4.16E-04
734.33,9.40E-04,3.14E-04,5.12E-04
731.33,9.75E-04,3.30E-04,5.35E-04
728.33,0.001083840141,4.07E-04,6.06E-04
725.33,0.001216051128,4.64E-04,6.75E-04
722.33,0.001285433168,4.54E-04,7.03E-04
719.33,0.001485335143,5.04E-04,8.56E-04
716.33,0.001498744874,5.34E-04,9.46E-04
713.33,0.001283020663,5.17E-04,8.54E-04
710.33,0.001194448542,5.30E-04,7.71E-04
707.33,0.001035029506,5.06E-04,8.27E-04
704.33,9.83E-04,5.01E-04,8.12E-04
701.33,0.00120501889,5.96E-04,8.26E-04
698.33,0.00124861496,6.91E-04,8.49E-04
