"","sample","bix","b","t","a","m","c","fi","hix"
"1","CCIW26Feb2401",0.995425554377105,NA,0.375484808482952,0.802268361313288,0.490213770147278,0.349646554470127,1.38713774817147,0.792643169537987
"2","Chi27Feb2401s",0.941426315736777,NA,0.156642422047753,0.182125231228156,0.0764258149371813,0.0613675939140421,0.731182360990935,0.664204110116416
"3","EC95820Feb24",1.00042077309741,NA,0.15951215387571,0.306038938337679,0.158699602385013,0.121729834969869,1.26003805866922,0.852684005691813
"4","GB13Mar2401s",0.933222924045679,NA,0.227196864680309,0.564407463776774,0.303394455412672,0.220090816917093,1.20816328975572,0.811787628353088
"5","GB22Feb2401s",0.625003882676,NA,0.261884681210717,1.1632815372086,0.699594776982849,0.574704833432548,1.13491862806641,0.889726193352343
"6","Gra21Mar2401s",1.12662845975902,NA,0.0971823228131825,0.191856689537644,0.0942646272021648,0.0759793626695857,0.991655285008215,0.748667281395009
"7","KB2Mar2401s",1.72881791655322,NA,0.0356514343742305,0.116116832216903,0.0558779715531728,0.0442925292028349,0.672316103220232,0.869855425719534
"8","KW23Feb2401s",0.824695177517503,NA,0.0631326538545807,0.19146516280648,0.096083426877442,0.0834187959760868,0.907455216661477,0.892903487178952
"9","LSC27Feb2401s",0.846234323940564,NA,0.179055530856544,0.373627426474968,0.208734001975472,0.16656095741746,1.1264053430639,0.819542543531426
"10","Mart29Feb2401",0.604384489258702,NA,0.15226941536298,1.57542308216557,0.887871351383524,0.806342530452639,1.12438306915448,0.918098561138251
"11","NW28Feb2401s",0.779307821902045,NA,0.0623583955034519,0.349146835878969,0.160919185391663,0.129481486446252,1.04273812495496,0.913844297256591
"12","Que27Feb2401s",1.32806516076282,NA,0.248863702209576,0.278981619362185,0.148820865679824,0.104146104447807,1.10420901042371,0.628457010511044
"13","Stc26Feb2401s",1.008734979253,NA,0.0970594209465503,0.165856753481307,0.0787203779525498,0.0553821191059214,0.999262709147573,0.781034980940758
"14","U162928Feb24",2.00917684291154,NA,0.0860911441732242,0.119782801608835,0.0561886524530451,0.035355746975398,0.711302190542978,0.582971558531555
