"","sample","bix","b","t","a","m","c","fi","hix"
"1","A118Feb25",1.89087886480171,NA,0.0373647176880922,0.111384328955491,0.064233685479735,0.0289455439711901,0.869186787340527,0.383160711213219
"2","BQ20Feb25",0.845466769658517,NA,0.279097107726329,0.925261617455817,0.628846893337268,0.423178187062177,1.29671166628308,0.83235701266522
"3","E96619Feb25",1.16149286203831,NA,0.0499681519141291,0.132335851818652,0.0675819520366758,0.0427122049162847,1.31839196854193,0.565903129085139
"4","E96719Feb25",0.829544863857016,NA,0.0445110137394522,0.116411111082742,0.0604506077230553,0.0391172172331835,1.965663073016,0.525880493705671
"5","GB21Feb25",0.731003718842984,NA,0.178943940268482,0.952989494476299,0.637888507602042,0.509874254459504,1.36844578335497,0.833457483810158
"6","GB3219Feb25",0.877583191743603,NA,0.604656806332969,1.88625687517413,1.24664383124377,0.809442325743703,1.40746095612539,0.80941827670183
"7","LHU29Feb25",0.829809822936564,NA,0.0266312605029952,0.143523365442206,0.0807240987059004,0.0497262990653837,1.25611623564699,0.682606891782863
"8","LSU29Feb25",1.40192075488373,NA,0.212299433755902,0.144051931941249,0.0842425933951745,0.0417917411315329,1.14837446574691,0.405532322752016
"9","PIB18Feb25",0.995022383864984,NA,0.0599146123306866,0.174140608382757,0.0934558126667753,0.0558801703758505,1.24136245890648,0.63562505909294
"10","PreT9Apr25",0.41160705061612,NA,0.197227935976343,0.220078257832029,0.0902310392653476,0.0395023124218312,0.727785803650387,0.105369827302145
"11","SB1413Feb25",1.09836044241066,NA,0.0394119089698961,0.178205180762234,0.103148175192359,0.0562754013817042,1.37149116771423,0.694923058551845
"12","SB213Feb25",1.03661179502726,NA,0.132056252834218,0.305341860925182,0.175778908819439,0.102328485318026,1.39618971689534,0.707044396006083
"13","SB413Feb25",0.870994548851784,NA,0.0949094238441717,0.244698446889743,0.120624355301743,0.0658550599136696,1.35349575769518,0.668203642607874
"14","SM18Feb25",0.70729949066261,NA,0.08438137357507,0.565676573534631,0.349862113872177,0.296225775652204,1.25437685225053,0.891367160546849
"15","SMR29Feb25",0.99498885502378,NA,0.0239671034804587,0.137539922853193,0.0664086037406832,0.0440017962046113,2.00769327681954,0.57352019949836
"16","Tea019Apr25",0.786091597715214,NA,0.191879023866704,0.171467612702145,0.0898473779053575,0.0441163696662414,1.31917441826239,0.10934834088095
"17","Tea029Apr25",0.6169119958357,NA,0.202213722372562,0.212354530593586,0.0794492091881702,0.0450298422536619,2.46195286805757,0.123430336956827
"18","Tea039Apr25",0.670425345922412,NA,0.22365673935542,0.18643577227067,0.0868518063182648,0.0450216950639373,1.20399115093112,0.115955397385362
"19","WF17Feb25",0.488471311820663,NA,0.0426534759468495,0.154495290586334,0.0713778202502624,0.0574905355284585,0.998954570173183,0.656847010777953
