"","sample","a254","a300","E2_E3","E4_E6","S275_295","S350_400","S300_700","SR"
"1","A118Feb25",3.48552617629459,0.939515699220667,15.4387239725446,-1.12717032453974,0.0337179796101096,0.0220655835089463,0.0842476503160609,1.52808012516139
"2","BQ20Feb25",32.2872983828953,13.8903451051325,8.1995788835387,-10.8818510001859,0.0206849781731312,0.0195761513742613,0.0193858731653673,1.05664171560952
"3","E96619Feb25",4.31352938206603,1.4619385917096,10.5215410939928,-14.2408564154771,0.0285703099572359,0.0172025945183019,0.0190983453601908,1.66081400842413
"4","E96719Feb25",4.19800099219561,1.38834740243038,8.74351441134404,1.89503628314538,0.029077139323908,0.0141367318068936,0.0149099127980119,2.05685017733228
"5","GB21Feb25",39.8634782287557,21.1373546010619,5.34493292461026,14.4305887129028,0.0150585828097648,0.0167118708628409,0.0157004056482301,0.901071037070286
"6","GB3219Feb25",56.9728008517608,25.1901066893086,8.05866096494713,6.82255850370638,0.0199836376283077,0.0190245758648482,0.0188338610490213,1.05041172903263
"7","LHU29Feb25",5.32007582109277,2.30786953211379,5.74510075375887,1.34062157745766,0.021497915630685,0.0113461439034083,0.0118519043823935,1.89473320748445
"8","LSU29Feb25",5.76352742214192,2.95942601230703,3.44292859237482,1.16754620287155,0.0160064587284915,0.00543290562463683,0.00608604276940047,2.9462059226478
"9","PIB18Feb25",5.0530153076877,1.86417903584352,9.02206619587062,-9.97515747111657,0.0246819403210286,0.018112033720894,0.0192765241089679,1.36273710072412
"10","PreT9Apr25",29.0320422108538,12.5473920831699,5.62416364497598,7.39146132065909,0.0345730345274376,0.0182150597433153,0.0154105244221687,1.89804672697411
"11","SB1413Feb25",6.38697391904567,2.09206528790798,11.6802648476593,-47.5441584234301,0.0286518095818701,0.0183623386188327,0.0229966546657869,1.56035732575394
"12","SB213Feb25",9.71109293548719,3.32175234694099,11.3267960830554,3.89085399070056,0.0276044764260377,0.0192759344540581,0.020592330461938,1.43206942790917
"13","SB413Feb25",7.23015219709345,2.3477636395444,12.8134846068624,-1.51778022834047,0.0288108623629716,0.020591672467588,0.0460027685352561,1.39915115726131
"14","SM18Feb25",23.5161322224111,12.332122609652,5.422605929206,20.587572521514,0.0152021305542966,0.0168390482888637,0.0157633022601736,0.902790365198387
"15","SMR29Feb25",3.74733412922969,1.30057225088096,11.0247636466964,-0.519579937153264,0.0270242245283627,0.0225718199149954,0.0984284987907779,1.19725501222918
"16","Tea019Apr25",29.2255426520794,12.5310161833571,5.75708327990938,30.3426103714968,0.0348593834493606,0.018934438754058,0.016098084459211,1.84105712887263
"17","Tea029Apr25",29.6142769555903,12.6882719117629,5.72725542101654,15.6598975900265,0.0349561972808577,0.0186863942410487,0.0159500576269319,1.87067643066573
"18","Tea039Apr25",30.0887690796227,12.8689192470081,5.73248744049019,26.4746564774736,0.0349179189480726,0.0187571128235875,0.0160222801216634,1.86158281802104
"19","WF17Feb25",5.80901406470198,2.4642586756514,7.63902983298294,-2.15242454274667,0.0209453301140215,0.0182035275213778,0.0242686819685002,1.15061930109007
