"Wavelength","Abs"
"800","8.88319399354237E-4"
"798","7.9488203746142E-4"
"796","8.52290605290846E-4"
"794","8.86517886908196E-4"
"792","9.94933424502739E-4"
"790","9.67773600647793E-4"
"788","9.62504525881762E-4"
"786","9.78088333286981E-4"
"784","9.20125290982134E-4"
"782","9.19570176702841E-4"
"780","8.76224838277672E-4"
"778","7.30932449415996E-4"
"776","9.33441314994052E-4"
"774","8.22595035083939E-4"
"772","6.19518129172398E-4"
"770","7.35529594484137E-4"
"768","7.50767679994366E-4"
"766","8.40754535924965E-4"
"764","8.91970500235711E-4"
"762","6.40544115414325E-4"
"760","5.30104213218409E-4"
"758","5.91557369566549E-4"
"756","5.49816480637182E-4"
"754","6.82235494003928E-4"
"752","6.22103034024912E-4"
"750","5.93712971285002E-4"
"748","5.10898304780538E-4"
"746","5.40027469259237E-4"
"744","5.99386978336325E-4"
"742","5.10881396040347E-4"
"740","4.66489899855791E-4"
"738","5.20802599614053E-4"
"736","4.84718907168582E-4"
"734","5.80315352875095E-4"
"732","5.90927087523519E-4"
"730","7.40639906575876E-4"
"728","8.86629097775791E-4"
"726","9.03127375395823E-4"
"724","9.85151247436316E-4"
"722","0.00105111924975693"
"720","0.00115486417785131"
"718","0.00114353729688975"
"716","0.0012271555735652"
"714","0.00114419811326751"
"712","9.45088704202031E-4"
"710","7.45535516695687E-4"
"708","6.63912390025604E-4"
"706","7.74850079656915E-4"
"704","8.03182018427521E-4"
"702","7.97111028312017E-4"
"700","0.00108288828444561"
"698","0.0011419990381774"
"696","9.40299297178592E-4"
"694","0.0010739669830386"
"692","0.00111799767821757"
"690","0.00106651972354697"
"688","0.00103625404357107"
"686","0.00112692142592485"
"684","0.00116709878698745"
"682","0.00108684049808787"
"680","0.00119319391160401"
"678","0.00117761076910298"
"676","0.00116134311952959"
"674","0.00120505013723895"
"672","0.00113371074958574"
"670","0.00113633151208785"
"668","0.00125409412002193"
"666","0.00122065515981364"
"664","0.00126737099641752"
"662","0.00131839674229992"
"660","0.00124085421722457"
"658","0.00133957231931732"
"656","0.00130863874420153"
"654","0.00129934642559474"
"652","0.00135652448507526"
"650","0.00139500626875095"
"648","0.00147042727222302"
"646","0.00146440797040597"
"644","0.00135034505225807"
"642","0.00141075934478444"
"640","0.00141034667405893"
"638","0.00142731275298972"
"636","0.0014557208067308"
"634","0.00141370857379093"
"632","0.00138183987926219"
"630","0.00141749775099038"
"628","0.00143851272744631"
"626","0.00143813872067867"
"624","0.00146189683688362"
"622","0.00150999120632258"
"620","0.00156289184746089"
"618","0.00156176631368347"
"616","0.00163332020987098"
"614","0.00167105249864468"
"612","0.00176493123599152"
"610","0.00182968961320777"
"608","0.00190819832118573"
"606","0.00167295092141935"
"604","0.00164750132814305"
"602","0.00169922408222368"
"600","0.00174734222925522"
"598","0.0017520561805486"
"596","0.00178802325739311"
"594","0.00187526944452803"
"592","0.00192067427713316"
"590","0.00191435117055117"
"588","0.00192281029904001"
"586","0.00193126851352446"
"584","0.00198843962068768"
"582","0.00203391996238695"
"580","0.00203008284081295"
"578","0.00211391691065962"
"576","0.00210200891506766"
"574","0.00214458718781937"
"572","0.00216830830553102"
"570","0.00219662707022214"
"568","0.00224665632222853"
"566","0.00245094513731338"
"564","0.0023980945515374"
"562","0.00248901822046853"
"560","0.0022380394227397"
"558","0.00226691794780782"
"556","0.00233654319163782"
"554","0.00239139961592136"
"552","0.0024375497364074"
"550","0.00248495765813575"
"548","0.00256103222646284"
"546","0.00258139883796523"
"544","0.00260528441340981"
"542","0.00267455342913983"
"540","0.00275753409718276"
"538","0.00275630377026575"
"536","0.00278516460523547"
"534","0.00283551758161921"
"532","0.00292000142108078"
"530","0.00295376272553861"
"528","0.00301557739676916"
"526","0.00306912394853739"
"524","0.00315341351798036"
"522","0.00318812621070764"
"520","0.0032531124839993"
"518","0.00328019215575339"
