"","sample","bix","b","t","a","m","c","fi","hix"
"1","LTF1022523425",0.964079315027014,NA,0.100019526931959,0.196118180237875,0.135268344255124,0.087617227720159,1.25574629394368,0.651754196167949
"2","LTF2022523425",0.975294772587299,NA,0.0887118931492807,0.184800654512173,0.131633073415344,0.0812507391856485,1.37458671060869,0.654906489730633
"3","LTF3022523425",0.87639210206675,NA,0.0826268960435428,0.161689518669192,0.117331278534124,0.0769836379711322,1.3599714563967,0.647245277919738
"4","LTF4022523425",0.943442461262236,NA,0.0797844125974052,0.163993717912604,0.119163028751586,0.0768195525499777,1.45475461624538,0.456252773896999
"5","LTF5022523425",0.959005691222433,NA,0.0918874611340925,0.159738855134208,0.112128573491105,0.0743434169736616,1.39167254671941,0.631972038700419
"6","LTF6022523425",0.989308206314801,NA,0.09063308324437,0.159302305418578,0.116298658099709,0.0728969365643053,1.45288603795435,0.595122602928749
"7","PEL1082423425",0.974399345226442,NA,0.148505235505127,0.363256446731782,0.233941936010282,0.151323972808058,1.26320153767327,0.713893693050623
"8","PEL2082423425",0.944392259010897,NA,0.139915400776601,0.351820633056818,0.233723277347735,0.155148859708291,1.33092079456913,0.689973198377825
"9","PEL3082423425",0.912827520121677,NA,0.149824632870008,0.433978085345757,0.284050504963373,0.189693378911102,1.32216433982545,0.733218061652261
"10","PEL4082423425",1.01555994168046,NA,0.154827990369569,0.360128354931277,0.232484776499092,0.153891199862073,1.36885645151183,0.705219868447342
"11","PEL5082423425",1.00748042643831,NA,0.179381146758743,0.376954850796807,0.24850696387341,0.161935755250724,1.3811212641599,0.672449081998187
"12","PEL6082423425",0.970166753551368,NA,0.150407270041114,0.362754407385296,0.240414108452342,0.154912871875618,1.3133960075276,0.71238675841058
