"Wavelength","I1","I1.dark","R1","R1dark","XCorrect","I1c","R1c","I1c.R1c","Abs","Percent.T"
"nm","uA","uA","uA","uA","","uA","uA","uA/uA","OD","T*100"
"","Abs Detector Raw","Dark Offset for Abs Detector","Ref Detector Raw","Dark Offset for Ref Detector","Linear interp","Dark subtracted Abs Detector","Corrected Ref Detector","Corrected Intensity ","-Log(T)","% Transmittance"
"800","0.144590001672918","2.26832899140923E-4","0.212479455671055","0.00493238350327853","1.35067892074585","0.144363168773777","0.280329455439533","0.514976810222915","-1.78474284585729E-4","100.04110366796"
"798","0.153479136807382","","0.225687884191885","","1.34199333190918","0.153252303908241","0.296252409906382","0.517303146855987","-2.68109799409978E-4","100.061753622444"
"796","0.165611704164603","","0.243255219441208","","1.33337259292603","0.165384871265462","0.317773137708041","0.520449501988467","-1.8790289973153E-4","100.043275602774"
"794","0.166456241896214","","0.244057186868118","","1.32502686977386","0.166229408997073","0.316846789687805","0.524636557501063","-7.67860212864459E-5","100.017682197913"
"792","0.156887876265197","","0.230167939792269","","1.31713449954987","0.156661043366056","0.296665521713536","0.528072970735474","-2.07245578374458E-4","100.047731445766"
"790","0.151006586234376","","0.222164734143401","","1.30966234207153","0.150779753335235","0.284501029113048","0.529979641217122","-1.56152956982534E-4","100.035962011879"
"788","0.153204195936288","","0.225527529769002","","1.30193436145782","0.152977363037147","0.287200400894161","0.532650241994344","-1.99889044602467E-4","100.046036747095"
"786","0.157187942067526","","0.231379637556593","","1.29363858699799","0.156961109168385","0.292940905763103","0.535811510377853","-1.39117281337182E-4","100.032038068912"
"784","0.162150598068814","","0.238660954475435","","1.28498160839081","0.161923765169673","0.300336915054687","0.539140402171972","-2.05569025044733E-4","100.047345221579"
"782","0.170134737860825","","0.250291721679022","","1.27644824981689","0.169907904961684","0.313188497790659","0.542510041589245","-2.29108584968198E-4","100.052768118718"
"780","0.182013524281865","","0.267702403143266","","1.268270611763","0.181786691382724","0.333263493561782","0.545474361562568","-2.70948983450233E-4","100.062407774579"
"778","0.197973547525892","","0.290863635617551","","1.26044166088104","0.197746714626751","0.36039966231271","0.548687291652264","-3.3207077889896E-4","100.076491362264"
"776","0.218122077451791","","0.320004820498668","","1.25292003154755","0.217895244552651","0.394760567700025","0.551968110245062","-2.70727749257693E-4","100.062356801745"
"774","0.258069867056572","","0.37831721192826","","1.24577045440674","0.257843034157431","0.465151787375572","0.554320205050065","-3.6876646129303E-4","100.084947675775"
"772","0.348368563404436","","0.510328710424206","","1.23883104324341","0.348141730505295","0.626100658930839","0.556047538905004","-4.31652207821231E-4","100.099441003722"
"770","0.433697108252383","","0.632998558566854","","1.23221707344055","0.433470275353243","0.77391386416384","0.560101447234799","-3.9541568010035E-4","100.091089286168"
"768","0.434701913241044","","0.631329562907019","","1.22665858268738","0.434475080341903","0.768375476286764","0.565446313359113","-3.25103590961312E-4","100.074885893717"
"766","0.371832720987374","","0.53897945493863","","1.22236526012421","0.371605888088233","0.652800587393644","0.569248703607787","-3.62951032382305E-4","100.083607495262"
"764","0.328124646210851","","0.477621955488978","","1.2186872959137","0.32789781331171","0.576060776289854","0.569206977471285","-4.38263077010241E-4","100.100964737903"
"762","0.328640696929004","","0.47900606192876","","1.214359998703","0.328413864029863","0.575696111517895","0.570463926122341","-3.67116360530908E-4","100.084567403997"
"760","0.345182521203727","","0.502922507756046","","1.20898902416229","0.344955688304586","0.602064594362812","0.572954615724689","-5.49860443247772E-4","100.126690230341"
"758","0.369161602833985","","0.537505106494814","","1.2031888961792","0.368934769934844","0.640785586711336","0.575753852124398","-5.75980393122925E-4","100.132712371738"
"756","0.394672228952753","","0.573965898890627","","1.19780671596527","0.394445396053612","0.681592166340294","0.578711751004309","-5.72508091251571E-4","100.131911786815"
"754","0.420092825164654","","0.609950725406995","","1.1931779384613","0.419865992265513","0.721894537923953","0.581616801635564","-5.70307308537969E-4","100.131404370692"
"752","0.445401359304248","","0.646260376445991","","1.18890511989594","0.445174526405107","0.762478134342175","0.583852187170167","-5.73693541731981E-4","100.132185107315"
"750","0.484867940872622","","0.702800026183449","","1.1848680973053","0.484641107973481","0.826881105953387","0.586107367170633","-5.78055630593176E-4","100.133190848122"
"748","0.538713152449459","","0.779742723019556","","1.18107759952545","0.538486319550318","0.915111135883385","0.588438167163708","-5.78474958797182E-4","100.133287530657"
"746","0.591764008255545","","0.854607978457714","","1.17750906944275","0.591537175356404","1.00050071914301","0.591241129604675","-7.03343332530158E-4","100.162081998384"
