Wavelength	I	Idark	R	Rdark	XCorrect	Ic	Rc	Ic/Rc
nm	uA	uA	uA	uA				
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp 	Dark subtracted Abs Detecto	Corrected Ref Detector	Corrected Intensity
700	0.297123546462136	2.54697884495583E-4	0.42491110136	0.00496794718664626	1.0694442987442	0.296868848577641	0.449105812027351	0.661022059005465
698	0.313431801115752		0.450016932405923		1.0649927854538	0.313177103231257	0.473973958432063	0.660747489729747
696	0.340380687116468		0.48889145465049		1.06259047985077	0.340125989231973	0.514212512007073	0.661450239521387
694	0.369883760118697		0.530243988970117		1.06203079223633	0.369629062234202	0.557859330798062	0.662584708774913
692	0.390682211268501		0.55906041188964		1.06277585029602	0.390427513384005	0.588876090317342	0.663004526425255
690	0.407633772174887		0.582592227896686		1.06392598152161	0.407379074290391	0.614549479805141	0.662890601452566
688	0.41665833421158		0.595287876039316		1.06461536884308	0.416403636327085	0.628463668790905	0.662573919552422
686	0.41813119339759		0.597461228081413		1.0645604133606	0.417876495513094	0.630744892022708	0.662512690626831
684	0.412533210631872		0.589624587182551		1.06376242637634	0.412278512747376	0.621935765959083	0.662895648253328
682	0.411393327213575		0.588605921109961		1.06245732307434	0.41113862932908	0.620090439419097	0.663030105276637
680	0.416816505292491		0.597053757379916		1.06094348430634	0.416561807407996	0.628169582474787	0.66313590952124
678	0.426154080023247		0.610691283265364		1.05921316146851	0.425899382138751	0.641590129783189	0.663818475952356
676	0.434262096958622		0.622651938429974		1.05730748176575	0.434007399074126	0.653081905308499	0.664552785104515
674	0.441322918463611		0.633192212435709		1.05524814128876	0.441068220579116	0.662932488216569	0.665329016783722
672	0.448574189491766		0.643980164052759		1.05312037467957	0.44831949160727	0.67295678525086	0.666193582460349
670	0.454185770890241		0.652490573564651		1.0509113073349	0.453931073005746	0.680488849815837	0.667066143888463
668	0.457937498170172		0.658166637079569		1.0485315322876	0.457682800285676	0.684899423201677	0.66824819058273
666	0.461145658557743		0.663393736668057		1.04595601558685	0.460890960673248	0.688684415325605	0.669233905133954
664	0.465770560883013		0.670508348456035		1.04322910308838	0.465515862998518	0.694311115885344	0.670471568649624
662	0.472669514102517		0.680936389491027		1.04042720794678	0.472414816218021	0.703295959086879	0.671715527601465
