wavelength,fd3blank,fd3a,fd3b,fd3t1blank,fd3t1a,fd3t1b
827.33,7.20E-04,0.003405361413,0.001387227,0.001643669173,4.86E-04,5.89E-04
824.33,7.44E-04,0.003300375979,0.001159815164,0.00128039252,4.92E-04,6.91E-04
821.33,9.24E-04,0.00353732885,0.001324335371,0.001480607695,4.64E-04,6.67E-04
818.33,8.20E-04,0.003414541026,0.001441323276,0.001369920308,4.26E-04,5.76E-04
815.33,7.29E-04,0.003557558453,0.001452319009,0.001319062754,4.57E-04,6.64E-04
812.33,6.59E-04,0.003692783608,0.001395602878,0.001365735297,4.31E-04,7.30E-04
809.33,7.05E-04,0.003639353902,0.00130932802,0.001389553969,4.90E-04,6.92E-04
806.33,7.07E-04,0.003586004631,0.001262019156,0.001270161785,4.94E-04,6.83E-04
803.33,9.11E-04,0.003655326792,0.001614661506,0.001409951355,5.97E-04,7.88E-04
800.33,8.28E-04,0.003622009387,0.001621941938,0.00138701595,5.16E-04,7.70E-04
797.33,8.63E-04,0.003684537421,0.001479558237,0.001395488404,6.25E-04,7.58E-04
794.33,9.25E-04,0.003576670049,0.001364420058,0.001412392726,6.58E-04,8.09E-04
791.33,8.60E-04,0.003600182413,0.001252567926,0.001366418708,7.16E-04,7.55E-04
788.33,8.02E-04,0.003544290747,0.001198299476,0.001338057873,6.19E-04,6.54E-04
785.33,8.23E-04,0.003490632118,0.001386082818,0.001330208675,6.95E-04,7.26E-04
782.33,7.49E-04,0.003540893899,0.001433794647,0.001290164031,6.38E-04,6.34E-04
779.33,6.23E-04,0.003443818893,0.001140042711,0.001094870581,4.24E-04,5.70E-04
776.33,5.74E-04,0.003452308032,0.001219893251,0.001036351847,3.95E-04,5.07E-04
773.33,6.32E-04,0.003493878448,0.001171880925,0.001105592137,3.27E-04,6.14E-04
770.33,6.45E-04,0.003517952678,0.001203640266,0.001100283528,3.44E-04,6.03E-04
767.33,5.78E-04,0.003453017675,0.001146726121,0.001103524991,2.92E-04,4.74E-04
764.33,6.68E-04,0.003540123825,0.001247970447,0.001067487266,3.85E-04,6.03E-04
761.33,6.29E-04,0.003403096727,0.001074771109,9.77E-04,3.04E-04,3.77E-04
758.33,7.17E-04,0.003437137356,0.001128074585,9.13E-04,2.54E-04,5.32E-04
755.33,6.05E-04,0.003554674432,0.001163636285,9.27E-04,3.34E-04,4.50E-04
752.33,5.48E-04,0.003492431646,0.001102419169,8.18E-04,1.32E-04,4.04E-04
749.33,5.84E-04,0.003477168484,1.00E-03,7.83E-04,2.07E-04,3.59E-04
746.33,5.36E-04,0.003454085824,8.93E-04,7.12E-04,1.55E-04,3.03E-04
743.33,5.41E-04,0.003547653437,9.52E-04,7.90E-04,1.13E-04,3.39E-04
740.33,5.32E-04,0.003511962061,8.52E-04,7.09E-04,1.61E-04,3.55E-04
737.33,6.09E-04,0.003669729809,0.001055695454,9.09E-04,2.57E-04,4.16E-04
734.33,6.34E-04,0.003676753386,0.001019263477,9.40E-04,3.14E-04,5.12E-04
731.33,6.42E-04,0.003546287867,0.001122966101,9.75E-04,3.30E-04,5.35E-04
728.33,6.96E-04,0.0035460165,0.001178213851,0.001083840141,4.07E-04,6.06E-04
725.33,7.33E-04,0.00367426192,0.001308522631,0.001216051128,4.64E-04,6.75E-04
722.33,6.68E-04,0.003673469972,0.001258772711,0.001285433168,4.54E-04,7.03E-04
719.33,8.13E-04,0.003819444552,0.001552506072,0.001485335143,5.04E-04,8.56E-04
716.33,8.62E-04,0.00385598387,0.001644462139,0.001498744874,5.34E-04,9.46E-04
713.33,8.33E-04,0.003725473236,0.00167715842,0.001283020663,5.17E-04,8.54E-04
710.33,8.52E-04,0.003760464139,0.001880972265,0.001194448542,5.30E-04,7.71E-04
707.33,9.32E-04,0.00376907334,0.00190845002,0.001035029506,5.06E-04,8.27E-04
704.33,8.53E-04,0.003649082817,0.001731839623,9.83E-04,5.01E-04,8.12E-04
701.33,0.00103444148,0.003901504059,0.001219454205,0.00120501889,5.96E-04,8.26E-04
698.33,0.001092692989,0.004021142058,0.001293233542,0.00124861496,6.91E-04,8.49E-04
695.33,0.001027229682,0.003975346991,0.001403106312,0.001240101511,5.85E-04,8.62E-04
692.33,0.001048746811,0.003961274957,0.001418124269,0.001262618945,5.79E-04,8.55E-04
689.33,9.94E-04,0.003917495218,0.001398393114,0.001183821188,6.38E-04,8.07E-04
686.33,0.001107029142,0.00401546942,0.001497326805,0.001277441525,7.14E-04,9.28E-04
