wavelength,LJBotA_1_0.5s,LJBotB_1_0.5s,LJMidA_1_0.5s,LJMidB_1_0.5s,LJTopA_1_0.5s,LJTopB_1_0.5s,LonBotA_1_0.5s,LonBotB_1_0.5s,LonMidA_1_0.5s,LonMidB_1_0.5s,LonTopA_1_0.5s,LonTopB_1_0.5s,OTBotA_1_0.5s,OTBotB_1_0.5s,OTMidA_1_0.5s,OTMidB_1_0.5s,OTTopA_1_0.5s,OTTopB_1_0.5s,Post20Sep24_1_0.5s,PosT23Sep24_1_0.5s,PreT20Sep24_1_0.5s,PreT23Sep24_1_0.5s,Tea0120Sep24_1_0.5s,Tea0123Sep24_1_0.5s,Tea0220Sep24_1_0.5s
240,0.0772721690047304,0.0754750727246263,0.0815389163256483,0.0835159529234008,0.0849911258970101,0.0848017252829269,0.345699890081644,0.341787514446903,0.293431606989893,0.302356086070585,0.289131263479432,0.296537264074196,0.271034172906808,0.275215577534731,0.310326193460681,0.284618386251137,0.310902177564305,0.268148490656594,0.129896253991783,0.130815108117003,0.135674673408084,0.130427343369263,0.134291109609227,0.136328400147794,0.140194938638245
242,0.0744256478925438,0.0729596220861345,0.0787493803859288,0.0806755072240237,0.0820023766789931,0.0818007091352975,0.336732894818129,0.332759451022856,0.285818299545486,0.294426405140859,0.281616513504526,0.288845735928139,0.263645052783488,0.267647514449465,0.301903982585663,0.277030120110304,0.302345126790305,0.261061277355775,0.122538687371065,0.123607975085291,0.127780859924541,0.123232338889246,0.126533582495709,0.128750370512964,0.13198669975121
244,0.0721307230518099,0.0705389417633199,0.0763598264963546,0.0782285944550338,0.0795607422056791,0.079385353646452,0.328664697194679,0.324762312385103,0.279011502089025,0.287432665357364,0.274935424854248,0.282027092708357,0.257491864458737,0.261279236671541,0.29443172150024,0.270462677368918,0.294686951479217,0.254887550588164,0.118084240240584,0.119022405533315,0.122398397929814,0.11843272280532,0.121348164167007,0.123638374027062,0.126371760918482
246,0.0699568579548824,0.0685528533476139,0.0741702572620497,0.0759305769072361,0.0772438591581386,0.0770927295548183,0.321384624623884,0.317623599125695,0.272829127433849,0.281058271020929,0.26886119171918,0.276002683311254,0.251768588884726,0.255388740242025,0.287711877276086,0.264509957782543,0.287701249852728,0.249368076722381,0.11568145882807,0.11676535281132,0.119235097095552,0.116047455044468,0.118262361851615,0.121000326518469,0.122661290880867
248,0.0679910633650891,0.0666878217220213,0.0721730376688746,0.073939554101112,0.0751139867079897,0.0750204575750967,0.314699364947267,0.310962602185632,0.267248166021045,0.275212593663014,0.263319045702167,0.270379410566786,0.246665622296156,0.250173594956856,0.281532912259667,0.259110965061936,0.281338246337818,0.244235457180708,0.115191879155478,0.11648000462089,0.118114081863149,0.115617479530358,0.11725270791776,0.120412601068771,0.120912278643484
250,0.0663491528259035,0.064981472973859,0.0704394384825034,0.0721363673168224,0.0732155128139278,0.0730572606142341,0.308530252400917,0.304637976957377,0.261708025481469,0.269602707021176,0.257995794907745,0.264893036719288,0.241974099206612,0.245325131778271,0.276106717228959,0.25418881794789,0.275783705930537,0.239720926591048,0.11642430070295,0.117497489735083,0.118513516387285,0.116606149517969,0.117767796797457,0.12110007373508,0.120904816248798
252,0.0646639687330557,0.0633890517453731,0.0688042693640662,0.0704932491966131,0.0714976330542337,0.071304848056607,0.302548268573173,0.298668964907937,0.256434189750558,0.264092132604878,0.252686595832912,0.259662875927332,0.237522857894725,0.240642148099445,0.270652409777064,0.249374865972379,0.270076843686455,0.23517314307856,0.118563244317917,0.119811060291297,0.120075504759349,0.118870155597459,0.119476653851691,0.123063251784799,0.122003589070582
254,0.0630737853682341,0.0619360010958376,0.0671860886592323,0.0688980694172336,0.0697574923167465,0.0695038314251833,0.296576974977683,0.292536808432556,0.251059192747024,0.25853999917776,0.247408310807441,0.254273745026945,0.232819344417183,0.235825563144964,0.265224874407013,0.244483833626501,0.264577078278221,0.230590800233505,0.121642626050734,0.122976849170766,0.122661289959929,0.121979339886697,0.122088341414915,0.126029536158434,0.12412398237006
256,0.0616210673195516,0.0603677644092629,0.0657145154597375,0.0673795207141778,0.0681905057267708,0.0678699530770048,0.29045586159713,0.28631508956973,0.245428865992972,0.252813780156951,0.241800755163342,0.248634202316512,0.228107896225615,0.231168570987254,0.259873580908417,0.239567641440705,0.258913802045974,0.225962094350059,0.125282479750483,0.126655440859346,0.125913627966896,0.125562445155469,0.125416980176058,0.129386507749189,0.127034323715945
258,0.0602253500475034,0.0589867377782255,0.0642393257821585,0.0658275188783234,0.0665330460189297,0.0662205747066041,0.28434965401059,0.28021845458177,0.239930619472077,0.247148840156986,0.236280744516362,0.243045931100125,0.223335667408222,0.226209263760806,0.254251192242821,0.234458632529647,0.253114762408484,0.221078366740213,0.129201509778723,0.130635864235239,0.129453436257997,0.129359287002,0.128914354633144,0.133064690588979,0.130266784557613
