wavelength,OTBotA_1_0.5s,OTBotB_1_0.5s,OTMidA_1_0.5s,OTMidB_1_0.5s,OTTopA_1_0.5s,OTTopB_1_0.5s,PreT04Nov24_1_0.5s,Tea014Nov24_1_0.5s
240,0.268766219062053,0.269425990419656,0.280302747142263,0.283579857670267,0.278423930988297,0.265447333904965,0.136184341342584,0.138648235567846
242,0.262003904039875,0.26257054851316,0.2731542932824,0.276257271578588,0.271238134088023,0.258729051740648,0.128765248723628,0.131375891527908
244,0.255697059394867,0.256232117136036,0.26669685370915,0.269610017705644,0.264806449780106,0.252608331203231,0.124045161043199,0.126599940951143
246,0.250211297444763,0.250705085616055,0.261108836860838,0.26380214709953,0.259113566845958,0.247306756018411,0.121924924068562,0.124376708013147
248,0.245162861406105,0.245691041538161,0.255907957850177,0.258419149460547,0.253950883136618,0.24229498797924,0.121683590300336,0.124070881985899
250,0.240523544872593,0.241057786576705,0.25106472671379,0.253510949887626,0.249069048669344,0.237799450205255,0.12302367898285,0.125452532859415
252,0.235853721610236,0.236345246804847,0.246316543011583,0.248544542441187,0.244226517400559,0.23322093917599,0.125384519482275,0.12785986861775
254,0.231358508795658,0.231767112101207,0.241629085926546,0.24370046354435,0.23942693310988,0.228763134309595,0.128880536708876,0.131345239595182
256,0.226551684629646,0.227062818804128,0.236689058093929,0.238671168784467,0.23448879781706,0.224027102487462,0.132826050041568,0.135234052717021
258,0.221483714777447,0.221947508279892,0.231665953894282,0.233344467687575,0.229287461948057,0.219074293377609,0.136912433061987,0.139360067583291
260,0.216364314215792,0.2168641974195,0.226362600710703,0.22798076439231,0.223862168937927,0.214051494583253,0.14087331896155,0.143338649604485
262,0.210829874250916,0.211313519619865,0.220792347966782,0.222156103708217,0.218028362479622,0.20856507428189,0.144621350460363,0.147059606138881
264,0.205058138285748,0.205564645476115,0.21496197550387,0.216203105161359,0.211939226789331,0.202859388500296,0.147351620306812,0.149809874677138
266,0.198922929149415,0.199427780528167,0.208732790140789,0.209911742065188,0.205571822499333,0.196912438533538,0.149026245976005,0.151371868597985
268,0.192607272168795,0.193154884223741,0.202316820735241,0.203363270644565,0.198870734797984,0.190594379152065,0.149311967008239,0.151631971439315
270,0.186054787534015,0.186594093012841,0.195615479073719,0.196652579599078,0.192049808598474,0.184136461030473,0.148203775520975,0.150443697324339
272,0.179663258518207,0.180121804485663,0.189048461228556,0.190067066474775,0.185363223485167,0.17776505470473,0.145756864085926,0.147978927710331
274,0.173119150247498,0.173546909459153,0.182405393742673,0.183322846606389,0.178645957925986,0.171259268250354,0.142159461219082,0.144256253839925
276,0.16615062363897,0.166544839091605,0.175364579637143,0.17618841400107,0.171506201561599,0.164361519095187,0.137040148291212,0.138923073298586
278,0.159854215241464,0.160283721694804,0.168826341219546,0.169716831446033,0.165050666031014,0.158049125269534,0.131222089800457,0.133062980064315
280,0.153467803066446,0.153879888438949,0.162318707291767,0.163163779100847,0.15854199184011,0.151658103699027,0.124388656742686,0.126097086010432
282,0.147054059733521,0.147496516583453,0.155739699375025,0.156575143772901,0.152059401406751,0.14528836794336,0.116813447609905,0.118357804895705
284,0.140823563655405,0.141271804905507,0.149374719878082,0.150152565383906,0.145668552959038,0.138945217648289,0.108946730078056,0.110397219726664
286,0.134723413490243,0.135114897768635,0.143099601374407,0.143835305775826,0.139234062448654,0.132748685735331,0.101092656287538,0.102508912627166
288,0.128655604313811,0.129092766196638,0.136842681309227,0.137430877766685,0.132668464178753,0.126562888633197,0.0936637672191283,0.0949258794023478
290,0.123097768474805,0.123531585877505,0.131077680549722,0.131715138508617,0.126441160205539,0.120820050646078,0.0871755664441159,0.0885798101657563
292,0.11767210305759,0.118091968252737,0.125441833471172,0.126087772978256,0.120604917726435,0.115365046570503,0.0817476469434158,0.0829891464806289
294,0.112584778644016,0.113038659915168,0.12028169394132,0.120850858768404,0.115309753209488,0.110256580254114,0.0772537355820116,0.0783482817720536
296,0.107607320691102,0.108033119317643,0.115124533438773,0.115646173508583,0.110037003945249,0.105144422667961,0.0730787333164715,0.0742526720718831
298,0.103183490943298,0.103606656477132,0.110540844038623,0.11102696969018,0.1054068287528,0.100711558516328,0.069777079387652,0.0708600752101142
300,0.0989400984467262,0.0994101422868901,0.106203731052795,0.106643718803883,0.101010446203001,0.0964774279753593,0.0666712860162604,0.0676412428470076
302,0.0949523340327008,0.0953776114236329,0.102009291949461,0.102445918683998,0.0968573159454904,0.0924931496807128,0.0637416661120495,0.0647463368689301
304,0.0911129550162161,0.0915427402132459,0.0980062948954154,0.0984435822454988,0.0928092777393337,0.0885873072807661,0.0609266203803199,0.061979683627156
306,0.0875955565454416,0.0880464875108723,0.0944023539640991,0.0947569353799169,0.089240504728251,0.0851267844862653,0.0583727800221907,0.0593816907744104
308,0.0841873127910747,0.0846332319162903,0.0908134095883337,0.0912064475069392,0.0857453634276467,0.0817769225321308,0.0558696632176934,0.0568741018354036
310,0.0809667931678542,0.0813505232726566,0.0875015837117401,0.0877924844870497,0.0823390094561259,0.078539879484632,0.0535012674397395,0.0545245107552634
312,0.0778622821733102,0.0782769116326229,0.0842033898378339,0.0845164484707018,0.0792050929473975,0.0754448289772026,0.0512983787087401,0.0523450877045251
314,0.0749624291602787,0.0753460280717499,0.0811633446655668,0.08143228374688,0.0761863520746594,0.0725290961345257,0.049309267597387,0.0503418187659907
316,0.0721347096811561,0.072574206078481,0.0781994692119,0.0784215455686483,0.0733273769690894,0.0697208199006786,0.0475315884798675,0.0485641003930599
318,0.069336782550377,0.0697321283793241,0.0752711131634304,0.075456347619969,0.0703582497431979,0.0669238785490045,0.0459191097013946,0.0468989457007244
320,0.0667135319210205,0.0671119275088203,0.0725238123865313,0.0726730407326806,0.0677069965645893,0.06434380342168,0.0445013141001933,0.0455151970830937
322,0.0642179686675319,0.0645757145073552,0.0698588966541033,0.0699688078712299,0.0651380419835095,0.0618025068844359,0.0432882961759484,0.0442309350702123
324,0.0617490497914635,0.0621119147607919,0.0672213891685449,0.0673778832753907,0.0625719477130436,0.0593470566046338,0.0421064196634938,0.0430956105204002
326,0.0594691977297182,0.0598570784664418,0.0648776762230397,0.0649289979265466,0.0602552680845391,0.0571241412764363,0.0411976147446638,0.0421163988323538
328,0.0572852242115614,0.0575847093324884,0.0625467929022733,0.0626206561224395,0.0579873857807579,0.0549351714988101,0.040264059393234,0.0411861981578776
