Wavelength,I1,I1dark,R1,R1dark,XCorrect,I1c,R1c,Ic1/R1c
nm,uA,uA,uA,uA,,,,
,Abs Detector Raw,Dark Offset for Abs Detector,Ref Detector Raw,Dark Offset for Ref Detector,Linear interp ,Dark subtracted Abs Detector,Corrected Ref Detector,Corrected Intensity
800,0.141651880842678,2.535302628877E-4,0.210489405363149,0.00495819435999455,1.35067892074585,0.141398350579791,0.277606674257329,0.509347806417366
798,0.149799215862614,,0.222743325678565,,1.34199333190918,0.149545685599726,0.292266194018487,0.51167630283736
796,0.162137154884969,,0.240856124296986,,1.33337259292603,0.161883624622081,0.314539834505968,0.514668117875574
794,0.164939519223136,,0.244529434943624,,1.32502686977386,0.164685988960249,0.317438330998368,0.51879679571871
792,0.155327325963205,,0.230416022715167,,1.31713449954987,0.155073795700317,0.29695828392019,0.522207340550212
790,0.148937830711331,,0.221419957039139,,1.30966234207153,0.148684300448444,0.2834918190793,0.524474748270787
788,0.150410325021549,,0.223887726079876,,1.30193436145782,0.150156794758661,0.285031880083985,0.526807017918196
786,0.154193153146692,,0.2295063440689,,1.29363858699799,0.153939622883804,0.29048415110244,0.529941555501652
784,0.159026311429687,,0.236644721992952,,1.28498160839081,0.158772781166799,0.297712926920279,0.533308320902421
782,0.166216931251113,,0.24728719822301,,1.27644824981689,0.165963400988225,0.309320432860817,0.536541991271889
780,0.177563044601467,,0.264154729932039,,1.268270611763,0.17730951433858,0.328731348736807,0.539375131151667
778,0.192804349319619,,0.286537115859449,,1.26044166088104,0.192550819056731,0.354913803483865,0.542528403140806
776,0.211606466401472,,0.31403222378181,,1.25292003154755,0.211352936138584,0.387245042693709,0.545786034259846
774,0.247489319003147,,0.366954295408723,,1.24577045440674,0.247235788740259,0.450964047296942,0.548238357851761
772,0.330710073103291,,0.490161202570221,,1.23883104324341,0.330456542840404,0.601084548845915,0.549767155843353
770,0.420442933500657,,0.621162289998427,,1.23221707344055,0.420189403237769,0.759297207369671,0.553392530829099
768,0.434693937472033,,0.638628072094164,,1.22665858268738,0.434440407209145,0.777296594113081,0.558912016982212
766,0.37395593570057,,0.548323880865647,,1.22236526012421,0.373702405437682,0.664191338728049,0.562642695933578
764,0.325949722513487,,0.479688769140387,,1.2186872959137,0.325696192250599,0.578548120466671,0.562954369271625
762,0.322385347222554,,0.475362809379841,,1.214359998703,0.322131816959666,0.571240547685387,0.563916231550638
760,0.337027964961896,,0.496983466642082,,1.20898902416229,0.336774434699009,0.594853153799507,0.566147178590092
758,0.359866319362826,,0.530269545915815,,1.2031888961792,0.359612789099939,0.632048785228851,0.568963658350725
756,0.386007745344796,,0.568083837146553,,1.19780671596527,0.385754215081908,0.674515676862,0.571898071926993
754,0.40954963673022,,0.602074861791005,,1.1931779384613,0.409296106467332,0.712466434266217,0.57447773927606
752,0.436265141079036,,0.640553853336469,,1.18890511989594,0.436011610816148,0.755662933140761,0.576992190160702
750,0.474401534664444,,0.696076764186388,,1.1848680973053,0.474148004401556,0.818884344842557,0.579017058254689
748,0.523606173139707,,0.767033020006376,,1.18107759952545,0.523352642876819,0.900069505733206,0.581458031344469
746,0.577119184095313,,0.843617718186687,,1.17750906944275,0.576865653832425,0.987529195480468,0.584150480282013
744,0.622315862076337,,0.907344747350992,,1.174187541008,0.622062331813449,1.05957104769518,0.587088834832344
742,0.687050767823528,,0.999520058261974,,1.17108881473541,0.686797237560641,1.16472027437801,0.589667109493227
740,0.782758065719909,,1.13654820865438,,1.16803753376007,0.782504535457022,1.32173960952394,0.592026243156066
