"","sample","bix","b","t","a","m","c","fi","hix"
"1","BQ121May2401s",0.767150932943161,NA,0.192936245962187,0.863260019728671,0.511158654659312,0.354152601345561,1.19496632311961,0.860008531777847
"2","EC95820May24",0.904305974174223,NA,0.1756470971211,0.343158018790064,0.193644144407642,0.139645901623567,1.18897879632058,0.768395790526634
"3","EC96220May24",1.204908817389,NA,0.124479061509447,0.13410540727898,0.0697821224344466,0.0414129441493856,0.910773573845872,0.494863237923569
"4","GB122May2401s",0.688142965160787,NA,0.244633746566365,0.782755341046141,0.462095389024341,0.315824524671363,1.16872296181588,0.856032099059845
"5","GB15May2401s",0.805559434710299,NA,0.26153691289683,0.896524183915481,0.537204316796021,0.374358076203748,1.26952899015774,0.842790910318722
"6","GraMay2401s",0.872762610181879,NA,0.0806596557684429,0.168316166515524,0.096412469490474,0.0586962126957076,1.13580739642107,0.555565278087619
"7","KB29May2401s",0.967873150029269,NA,0.0343120349495507,0.134916189138266,0.0613391160692345,0.0454953523225754,0.896254090799675,0.771449988465889
"8","KW29May2401s",0.731902144150726,NA,0.0777643141153703,0.382467065112678,0.231431145429951,0.160098845137384,1.0918680987861,0.858950683788091
"9","Mar15May2401s",1.11227562398602,NA,0.0736822631843097,0.141301764916815,0.0846241041887197,0.058425763932064,1.12523776329718,0.705830558086004
"10","MB14May2401s",0.802892000995844,NA,0.181178928583904,0.733142038876764,0.450791004908666,0.338040088579589,1.27078572253441,0.901389485596847
"11","Rac14May2401s",1.15311272562987,NA,0.0610740468802078,0.142966818611058,0.0724558034678466,0.0514184168148404,1.12646681831164,0.698895216986434
"12","S114May2401s",0.968418245207948,NA,0.081627462601773,0.273021140617971,0.141113667055265,0.0921314780854345,1.37317372395508,0.787052294430971
"13","S214May2401s",0.720286855252011,NA,0.0985482891946958,0.327006057425706,0.172085283396996,0.12599971196417,1.23652788324075,0.846049335268296
"14","SB15May2401s",1.53700018926942,NA,0.0650832948440438,0.138546125186281,0.0532113139288413,0.0361456036383601,0.864380600210576,0.719682668707528
"15","SB215May2401s",0.880813753390155,NA,0.0418673362553363,0.117326097144968,0.0581262875031712,0.0333342311073466,1.5519814499699,0.718787208115125
"16","TC15May2401s",0.740343464481621,NA,0.0773802959265311,0.308476878841418,0.17490727920746,0.12698930350129,1.13799533739702,0.813615848477357
"17","WF16May2401s",0.577604619925738,NA,0.0885546692830417,0.47657476833956,0.276581974094228,0.223456172714648,1.06802291095042,0.889061314761068
