"","sample","bix","b","t","a","m","c","fi","hix"
"1","EG18Feb25",0.922222941304704,NA,0.114074047854501,0.560127727069812,0.343641793432141,0.29316992943059,1.51257095327848,0.857553107494813
"2","KW10Feb25",0.236407688039979,NA,0.00988327081270768,0.114737936664255,0.0581417259218711,0.0408896337469287,1.51689762522531,0.792642173097254
"3","LH01Feb25",0.538695396423516,NA,0.122108069422609,0.215356036058665,0.133139903732285,0.106485260126135,1.35899053698749,0.669139246524299
"4","LH15May24",0.346858099990993,NA,0.0703479541343768,0.236760717974707,0.143869095919882,0.102864208979781,1.12237091270732,0.760926380610688
"5","LHU15May24",0.461501284829597,NA,0.0215305887438717,0.124160706364194,0.0583541247974608,0.050419264328184,1.59336360416454,0.71254739209765
"6","LM18Feb25",0.491364610710872,NA,0.0779229940063715,0.175838942067855,0.0757319673504071,0.0479124428063926,1.28657866328706,0.532493540220715
"7","LS01Feb25",0.255717784795093,NA,0.0353774109498772,0.144906868272074,0.0614260807218443,0.0409421022006029,1.25955563869943,0.558136526977631
"8","LS15May24",0.531467859312706,NA,0.0227210357206786,0.155079181155429,0.0941383657680035,0.0614144060610897,1.61715334239464,0.588996779468409
"9","MB11Feb25",0.732584409939504,NA,0.0251501337103264,0.146707542510796,0.101415071833344,0.0715826642788215,1.43095758980501,0.713432024475848
"10","MI17Feb25",0.248488112369733,NA,0.0139921259925586,0.128782286486455,0.062592737807222,0.0310172456389637,0.418269186490337,0.471430098022561
"11","NW10Feb25",0.728627423581047,NA,0.105682730080616,0.226659471526773,0.133440459606618,0.098082116726971,1.50001070905888,0.670257904386058
"12","ON11Feb25",0.838511166240657,NA,0.139207017245383,0.20818067078244,0.131101273654281,0.0746125262024862,1.80949881776702,0.560975791843434
"13","ONC11Feb25",1.16478743568978,NA,0.321438590710159,0.498976130969425,0.373328855657633,0.233269562953296,1.48011181971836,0.642812202302325
"14","QN12Feb25",0.598755768143979,NA,0.0378217855359253,0.140802184907443,0.0905090244473143,0.0598380477140381,2.17932754833637,0.613322812137359
"15","SB10Feb25",0.48216746562089,NA,0.0389852049395927,0.119618628621311,0.0565999915979774,0.0391670646267812,-26.6761184435462,0.709975613278966
"16","SM01Feb25",-0.103912036367028,NA,0.0296110291761238,0.0860841138687647,0.0644953115987619,0.0357495390688882,1.64479964752331,0.550207242896989
"17","SM15May24",0.456590823366786,NA,0.0305734386439553,0.130102668884177,0.0744337682713763,0.0446959368806574,1.12461521667931,0.640750810027754
"18","SM18Feb25",0.634650660301191,NA,0.11231266184808,0.558200557945838,0.348685292293737,0.301881998840031,1.30185996994313,0.853420507848514
