Wavelength,Abs,,,,,,,,
299.33,1.926451271,,,,,,,,
296.33,1.783554321,,,,,,,,
293.33,1.636878869,,,,,,,,
290.33,1.471194477,,,,,,,,
287.33,1.295484143,,,,,,,,
284.33,1.125326753,,,,,,,,
281.33,0.967500245,,,,,,,,
278.33,0.830775552,,,,,,,,
275.33,0.715363338,,,,,,,,
272.33,0.63055776,,,,,,,,
269.33,0.570497324,,,,,,,,
266.33,0.524689513,,,,,,,,
263.33,0.482503099,,,,,,,,
260.33,0.43824031,,,,,,,,
257.33,0.390886019,,,,,,,,
254.33,0.340818739,,,,,,,,
251.33,0.292325477,,,,,,,,
248.33,0.248493896,,,,,,,,
245.33,0.206418172,,,,,,,,
242.33,0.166097341,,,,,,,,
239.33,0.131009767,,,,,,,,
