Wavelength,Abs,,,,,,,,
299.33,1.96738648,,,,,,,,
296.33,1.826521273,,,,,,,,
293.33,1.678679059,,,,,,,,
290.33,1.511056457,,,,,,,,
287.33,1.336123299,,,,,,,,
284.33,1.161976447,,,,,,,,
281.33,1.000329065,,,,,,,,
278.33,0.86102848,,,,,,,,
275.33,0.743976915,,,,,,,,
272.33,0.656450827,,,,,,,,
269.33,0.595712288,,,,,,,,
266.33,0.549645477,,,,,,,,
263.33,0.506647078,,,,,,,,
260.33,0.461042084,,,,,,,,
257.33,0.41168251,,,,,,,,
254.33,0.359445859,,,,,,,,
251.33,0.309367944,,,,,,,,
248.33,0.263908393,,,,,,,,
245.33,0.220029317,,,,,,,,
242.33,0.177947642,,,,,,,,
239.33,0.141603526,,,,,,,,
